smoothed_trust_fam,smoothed_trust_fam_se,sample_size,country,iso_code,gid_0,survey_date
0.364772,0.00846,3233.0,United Kingdom,GBR,GBR,20201222
0.345624,0.01507,1002.0,Uruguay,URY,URY,20201222
0.329995,0.045198,109.0,Uzbekistan,UZB,UZB,20201222
0.499462,0.015723,1025.0,Venezuela,VEN,VEN,20201222
0.499005,0.01155,1875.0,Vietnam,VNM,VNM,20201222
0.339707,0.044521,112.0,Yemen,YEM,YEM,20201222
0.623516,0.030396,248.0,Afghanistan,AFG,AFG,20201223
0.41572,0.039192,161.0,Albania,ALB,ALB,20201223
0.234881,0.015649,736.0,Algeria,DZA,DZA,20201223
0.512758,0.045976,119.0,Angola,AGO,AGO,20201223
0.399223,0.006857,5120.0,Argentina,ARG,ARG,20201223
0.309772,0.0075,3818.0,Australia,AUS,AUS,20201223
0.239682,0.011047,1496.0,Austria,AUT,AUT,20201223
0.309093,0.030774,228.0,Azerbaijan,AZE,AZE,20201223
0.649716,0.014435,1109.0,Bangladesh,BGD,BGD,20201223
0.195282,0.016834,560.0,Belarus,BLR,BLR,20201223
0.21378,0.010546,1581.0,Belgium,BEL,BEL,20201223
0.482207,0.013353,1402.0,Bolivia,BOL,BOL,20201223
0.346471,0.030934,259.0,Bosnia and Herzegovina,BIH,BIH,20201223
0.457351,0.003002,27540.0,Brazil,BRA,BRA,20201223
0.267107,0.015898,773.0,Bulgaria,BGR,BGR,20201223
0.443731,0.043705,133.0,Cambodia,KHM,KHM,20201223
0.296064,0.005968,5869.0,Canada,CAN,CAN,20201223
0.462919,0.009557,2727.0,Chile,CHL,CHL,20201223
0.537931,0.006388,6089.0,Colombia,COL,COL,20201223
0.556758,0.014263,1216.0,Costa Rica,CRI,CRI,20201223
0.380506,0.041451,134.0,C̫te d'Ivoire,CIV,CIV,20201223
0.266622,0.015355,820.0,Croatia,HRV,HRV,20201223
0.325557,0.011439,1680.0,Czech Republic,CZE,CZE,20201223
0.285729,0.008384,2895.0,Denmark,DNK,DNK,20201223
0.45293,0.017416,820.0,Dominican Republic,DOM,DOM,20201223
0.470531,0.010506,2257.0,Ecuador,ECU,ECU,20201223
0.334434,0.007883,3583.0,Egypt,EGY,EGY,20201223
0.545208,0.016107,966.0,El Salvador,SLV,SLV,20201223
0.510741,0.037963,176.0,Ethiopia,ETH,ETH,20201223
0.353184,0.017054,795.0,Finland,FIN,FIN,20201223
0.192109,0.004459,7818.0,France,FRA,FRA,20201223
0.282099,0.004505,9979.0,Germany,DEU,DEU,20201223
0.439393,0.025676,376.0,Ghana,GHA,GHA,20201223
0.287651,0.012078,1405.0,Greece,GRC,GRC,20201223
0.582208,0.016175,933.0,Guatemala,GTM,GTM,20201223
0.563124,0.020402,599.0,Honduras,HND,HND,20201223
0.424559,0.019089,678.0,Hong Kong,HKG,HKG,20201223
0.23189,0.007796,2971.0,Hungary,HUN,HUN,20201223
0.528885,0.005173,9316.0,India,IND,IND,20201223
0.275137,0.006469,4767.0,Indonesia,IDN,IDN,20201223
0.334244,0.013872,1167.0,Iraq,IRQ,IRQ,20201223
0.37213,0.013495,1291.0,Ireland,IRL,IRL,20201223
0.388451,0.01168,1830.0,Israel,ISR,ISR,20201223
0.27448,0.004769,8807.0,Italy,ITA,ITA,20201223
