smoothed_pct_hes_waitlater,smoothed_hes_waitlater_se,sample_size,country,iso_code,gid_0,survey_date
0.524461,0.023996,433.0,Pakistan,PAK,PAK,20210207
0.621456,0.046555,108.0,Palestine,PSE,PSE,20210207
0.532906,0.03808,175.0,Panama,PAN,PAN,20210207
0.456371,0.031745,249.0,Paraguay,PRY,PRY,20210207
0.522352,0.013578,1349.0,Peru,PER,PER,20210207
0.599291,0.012274,1596.0,Philippines,PHL,PHL,20210207
0.434065,0.014889,1110.0,Poland,POL,POL,20210207
0.38466,0.013928,1222.0,Portugal,PRT,PRT,20210207
0.614595,0.030455,260.0,"Puerto Rico, U.S.",PRI,PRI,20210207
0.432983,0.017377,816.0,Romania,ROU,ROU,20210207
0.424105,0.012204,1649.0,Russia,RUS,RUS,20210207
0.566513,0.027347,329.0,Saudi Arabia,SAU,SAU,20210207
0.440939,0.024377,414.0,Serbia,SRB,SRB,20210207
0.524109,0.049428,104.0,Singapore,SGP,SGP,20210207
0.447666,0.023898,434.0,Slovakia,SVK,SVK,20210207
0.431921,0.036133,190.0,Slovenia,SVN,SVN,20210207
0.510628,0.017564,816.0,South Africa,ZAF,ZAF,20210207
0.631293,0.019085,637.0,South Korea,KOR,KOR,20210207
0.368922,0.0108,1998.0,Spain,ESP,ESP,20210207
0.398197,0.046204,114.0,Sri Lanka,LKA,LKA,20210207
0.527078,0.040277,152.0,Sudan,SDN,SDN,20210207
0.436518,0.01362,1327.0,Sweden,SWE,SWE,20210207
0.443761,0.019596,648.0,Switzerland,CHE,CHE,20210207
0.667365,0.009592,2414.0,Taiwan,TWN,TWN,20210207
0.586128,0.012268,1612.0,Thailand,THA,THA,20210207
0.507183,0.024167,430.0,Tunisia,TUN,TUN,20210207
0.542555,0.012494,1592.0,Turkey,TUR,TUR,20210207
0.405546,0.011331,1882.0,Ukraine,UKR,UKR,20210207
0.631133,0.040641,143.0,United Arab Emirates,ARE,ARE,20210207
0.369925,0.014483,1115.0,United Kingdom,GBR,GBR,20210207
0.518001,0.022412,503.0,Uruguay,URY,URY,20210207
0.486218,0.04855,117.0,Uzbekistan,UZB,UZB,20210207
0.556373,0.018879,696.0,Venezuela,VEN,VEN,20210207
0.423574,0.009406,2760.0,Vietnam,VNM,VNM,20210207
0.438271,0.050651,123.0,Afghanistan,AFG,AFG,20210208
0.324298,0.040131,139.0,Albania,ALB,ALB,20210208
0.489062,0.018989,705.0,Algeria,DZA,DZA,20210208
0.52188,0.008614,3366.0,Argentina,ARG,ARG,20210208
0.562438,0.011824,1763.0,Australia,AUS,AUS,20210208
0.485814,0.018013,777.0,Austria,AUT,AUT,20210208
0.423102,0.040427,152.0,Azerbaijan,AZE,AZE,20210208
0.460668,0.019399,665.0,Bangladesh,BGD,BGD,20210208
0.466727,0.023814,449.0,Belarus,BLR,BLR,20210208
0.479291,0.016905,876.0,Belgium,BEL,BEL,20210208
0.494295,0.016827,885.0,Bolivia,BOL,BOL,20210208
0.405609,0.033069,221.0,Bosnia and Herzegovina,BIH,BIH,20210208
0.53536,0.005601,7959.0,Brazil,BRA,BRA,20210208
0.400134,0.016975,838.0,Bulgaria,BGR,BGR,20210208
0.651729,0.044805,116.0,Cameroon,CMR,CMR,20210208
0.498384,0.010113,2446.0,Canada,CAN,CAN,20210208
0.543747,0.013616,1340.0,Chile,CHL,CHL,20210208
0.524439,0.009134,2995.0,Colombia,COL,COL,20210208
0.50418,0.028725,305.0,Costa Rica,CRI,CRI,20210208
0.569028,0.041978,143.0,C̫te d'Ivoire,CIV,CIV,20210208
0.442176,0.023456,447.0,Croatia,HRV,HRV,20210208
0.51543,0.013541,1366.0,Czech Republic,CZE,CZE,20210208
0.452821,0.02047,592.0,Denmark,DNK,DNK,20210208
0.619342,0.022621,465.0,Dominican Republic,DOM,DOM,20210208
0.540435,0.014383,1217.0,Ecuador,ECU,ECU,20210208
0.555815,0.012762,1515.0,Egypt,EGY,EGY,20210208
0.532981,0.021319,554.0,El Salvador,SLV,SLV,20210208
0.487277,0.040333,148.0,Ethiopia,ETH,ETH,20210208
0.586819,0.031663,249.0,Finland,FIN,FIN,20210208
0.492483,0.006141,6632.0,France,FRA,FRA,20210208
0.490029,0.007049,5042.0,Germany,DEU,DEU,20210208
0.570536,0.023292,460.0,Ghana,GHA,GHA,20210208
0.518963,0.014478,1196.0,Greece,GRC,GRC,20210208
0.473063,0.023746,451.0,Guatemala,GTM,GTM,20210208
0.490218,0.023691,456.0,Honduras,HND,HND,20210208
0.654993,0.026819,325.0,Hong Kong,HKG,HKG,20210208
0.397962,0.011825,1719.0,Hungary,HUN,HUN,20210208
0.46392,0.007777,4114.0,India,IND,IND,20210208
0.493249,0.010033,2492.0,Indonesia,IDN,IDN,20210208
0.498941,0.018457,760.0,Iraq,IRQ,IRQ,20210208
0.411395,0.02429,395.0,Ireland,IRL,IRL,20210208
0.54294,0.024986,379.0,Israel,ISR,ISR,20210208
0.392229,0.007795,3925.0,Italy,ITA,ITA,20210208
0.527603,0.004016,15469.0,Japan,JPN,JPN,20210208
0.521616,0.024032,422.0,Jordan,JOR,JOR,20210208
0.385869,0.026519,334.0,Kazakhstan,KAZ,KAZ,20210208
0.544132,0.022912,469.0,Kenya,KEN,KEN,20210208
0.525584,0.046261,122.0,Kuwait,KWT,KWT,20210208
0.403423,0.045742,118.0,Kyrgyzstan,KGZ,KGZ,20210208
0.579889,0.027459,325.0,Lebanon,LBN,LBN,20210208
0.517163,0.030367,277.0,Libya,LBY,LBY,20210208
0.586229,0.014541,1149.0,Malaysia,MYS,MYS,20210208
0.496729,0.005756,7548.0,Mexico,MEX,MEX,20210208
0.465573,0.037013,184.0,Moldova,MDA,MDA,20210208
0.551515,0.028733,303.0,Morocco,MAR,MAR,20210208
0.562734,0.034516,209.0,Mozambique,MOZ,MOZ,20210208
0.440158,0.027212,339.0,Nepal,NPL,NPL,20210208
0.417958,0.013445,1350.0,Netherlands,NLD,NLD,20210208
0.555868,0.018273,734.0,New Zealand,NZL,NZL,20210208
0.472649,0.032204,244.0,Nicaragua,NIC,NIC,20210208
