smoothed_trust_who,smoothed_trust_who_se,sample_size,country,iso_code,gid_0,survey_date
0.382091,0.011063,1926.0,Ukraine,UKR,UKR,20201222
0.583265,0.024335,415.0,United Arab Emirates,ARE,ARE,20201222
0.46609,0.008777,3231.0,United Kingdom,GBR,GBR,20201222
0.510024,0.015969,990.0,Uruguay,URY,URY,20201222
0.44399,0.047183,108.0,Uzbekistan,UZB,UZB,20201222
0.614251,0.014895,1088.0,Venezuela,VEN,VEN,20201222
0.66548,0.010986,1831.0,Vietnam,VNM,VNM,20201222
0.352028,0.046562,109.0,Yemen,YEM,YEM,20201222
0.717319,0.029684,235.0,Afghanistan,AFG,AFG,20201223
0.477187,0.041163,154.0,Albania,ALB,ALB,20201223
0.352921,0.018324,684.0,Algeria,DZA,DZA,20201223
0.605798,0.046844,111.0,Angola,AGO,AGO,20201223
0.521144,0.006983,5138.0,Argentina,ARG,ARG,20201223
0.464637,0.008117,3797.0,Australia,AUS,AUS,20201223
0.282401,0.011782,1467.0,Austria,AUT,AUT,20201223
0.238611,0.029322,214.0,Azerbaijan,AZE,AZE,20201223
0.740631,0.013495,1068.0,Bangladesh,BGD,BGD,20201223
0.36461,0.02035,557.0,Belarus,BLR,BLR,20201223
0.344422,0.012248,1572.0,Belgium,BEL,BEL,20201223
0.531644,0.013464,1375.0,Bolivia,BOL,BOL,20201223
0.375079,0.032258,248.0,Bosnia and Herzegovina,BIH,BIH,20201223
0.705556,0.00274,27673.0,Brazil,BRA,BRA,20201223
0.29788,0.016572,762.0,Bulgaria,BGR,BGR,20201223
0.637649,0.042098,135.0,Cambodia,KHM,KHM,20201223
0.44858,0.006521,5834.0,Canada,CAN,CAN,20201223
0.507672,0.009639,2690.0,Chile,CHL,CHL,20201223
0.612864,0.006286,6004.0,Colombia,COL,COL,20201223
0.644578,0.013834,1199.0,Costa Rica,CRI,CRI,20201223
0.448238,0.044485,126.0,C̫te d'Ivoire,CIV,CIV,20201223
0.313602,0.016373,804.0,Croatia,HRV,HRV,20201223
0.222763,0.010379,1609.0,Czech Republic,CZE,CZE,20201223
0.445464,0.00936,2822.0,Denmark,DNK,DNK,20201223
0.480315,0.017684,799.0,Dominican Republic,DOM,DOM,20201223
0.544989,0.010557,2227.0,Ecuador,ECU,ECU,20201223
0.540417,0.008448,3479.0,Egypt,EGY,EGY,20201223
0.568834,0.016134,953.0,El Salvador,SLV,SLV,20201223
0.733174,0.034219,170.0,Ethiopia,ETH,ETH,20201223
0.519065,0.017938,784.0,Finland,FIN,FIN,20201223
0.304231,0.00522,7796.0,France,FRA,FRA,20201223
0.337136,0.004753,9893.0,Germany,DEU,DEU,20201223
0.573253,0.026055,365.0,Ghana,GHA,GHA,20201223
0.504096,0.013316,1424.0,Greece,GRC,GRC,20201223
0.659637,0.015492,934.0,Guatemala,GTM,GTM,20201223
0.598128,0.020154,593.0,Honduras,HND,HND,20201223
0.415982,0.019163,665.0,Hong Kong,HKG,HKG,20201223
0.312078,0.008586,2912.0,Hungary,HUN,HUN,20201223
0.638618,0.005056,9037.0,India,IND,IND,20201223
0.362309,0.007093,4596.0,Indonesia,IDN,IDN,20201223
0.478288,0.015029,1121.0,Iraq,IRQ,IRQ,20201223
0.533358,0.013984,1281.0,Ireland,IRL,IRL,20201223
0.460466,0.012074,1787.0,Israel,ISR,ISR,20201223
0.511217,0.005334,8840.0,Italy,ITA,ITA,20201223
0.398351,0.003657,17915.0,Japan,JPN,JPN,20201223
0.320956,0.016891,768.0,Jordan,JOR,JOR,20201223
0.277272,0.02574,301.0,Kazakhstan,KAZ,KAZ,20201223
0.69133,0.015648,874.0,Kenya,KEN,KEN,20201223
0.417894,0.033127,219.0,Kuwait,KWT,KWT,20201223
0.362933,0.043048,126.0,Kyrgyzstan,KGZ,KGZ,20201223
0.452833,0.026546,355.0,Lebanon,LBN,LBN,20201223
0.552133,0.024544,414.0,Libya,LBY,LBY,20201223
0.56673,0.011868,1749.0,Malaysia,MYS,MYS,20201223
0.686077,0.00317,21434.0,Mexico,MEX,MEX,20201223
0.379283,0.030049,254.0,Moldova,MDA,MDA,20201223
0.459114,0.021714,528.0,Morocco,MAR,MAR,20201223
0.728456,0.016887,696.0,Myanmar,MMR,MMR,20201223
0.710828,0.018574,592.0,Nepal,NPL,NPL,20201223
0.299618,0.007546,3723.0,Netherlands,NLD,NLD,20201223
0.456173,0.014411,1196.0,New Zealand,NZL,NZL,20201223
0.705238,0.019919,524.0,Nicaragua,NIC,NIC,20201223
0.659439,0.013765,1190.0,Nigeria,NGA,NGA,20201223
0.466481,0.010616,2210.0,Norway,NOR,NOR,20201223
0.512548,0.049486,105.0,Oman,OMN,OMN,20201223
0.639265,0.011767,1669.0,Pakistan,PAK,PAK,20201223
0.454645,0.02822,329.0,Palestine,PSE,PSE,20201223
0.485303,0.020384,607.0,Panama,PAN,PAN,20201223
0.467398,0.022583,501.0,Paraguay,PRY,PRY,20201223
0.53971,0.011217,1978.0,Peru,PER,PER,20201223
0.529812,0.009349,2855.0,Philippines,PHL,PHL,20201223
0.373987,0.009343,2691.0,Poland,POL,POL,20201223
0.596141,0.010038,2441.0,Portugal,PRT,PRT,20201223
0.670966,0.013642,1207.0,"Puerto Rico, U.S.",PRI,PRI,20201223
0.581721,0.039141,188.0,Qatar,QAT,QAT,20201223
0.37798,0.010268,2232.0,Romania,ROU,ROU,20201223
0.308996,0.008806,2755.0,Russia,RUS,RUS,20201223
0.539095,0.016625,897.0,Saudi Arabia,SAU,SAU,20201223
0.262371,0.014968,863.0,Serbia,SRB,SRB,20201223
0.491528,0.02441,425.0,Singapore,SGP,SGP,20201223
0.330094,0.014222,1096.0,Slovakia,SVK,SVK,20201223
0.281951,0.022351,405.0,Slovenia,SVN,SVN,20201223
0.469299,0.009476,2782.0,South Africa,ZAF,ZAF,20201223
0.563516,0.011309,1909.0,South Korea,KOR,KOR,20201223
0.48623,0.006605,5731.0,Spain,ESP,ESP,20201223
0.717211,0.025048,321.0,Sri Lanka,LKA,LKA,20201223
0.540798,0.023902,437.0,Sudan,SDN,SDN,20201223
0.47927,0.006238,6437.0,Sweden,SWE,SWE,20201223
0.276415,0.01142,1538.0,Switzerland,CHE,CHE,20201223
0.263682,0.006825,4176.0,Taiwan,TWN,TWN,20201223
0.581621,0.005391,8377.0,Thailand,THA,THA,20201223
0.436992,0.019974,621.0,Tunisia,TUN,TUN,20201223
0.389923,0.007338,4422.0,Turkey,TUR,TUR,20201223
0.376001,0.008199,3487.0,Ukraine,UKR,UKR,20201223
0.56967,0.01918,672.0,United Arab Emirates,ARE,ARE,20201223
0.468234,0.006468,5959.0,United Kingdom,GBR,GBR,20201223
0.514924,0.012226,1682.0,Uruguay,URY,URY,20201223
0.448679,0.037586,175.0,Uzbekistan,UZB,UZB,20201223
0.622283,0.011654,1754.0,Venezuela,VEN,VEN,20201223
0.661034,0.008477,3105.0,Vietnam,VNM,VNM,20201223
0.434822,0.034698,202.0,Yemen,YEM,YEM,20201223
0.717345,0.025934,312.0,Afghanistan,AFG,AFG,20201224
0.488932,0.034487,218.0,Albania,ALB,ALB,20201224
0.355278,0.015074,1013.0,Algeria,DZA,DZA,20201224
0.618337,0.039922,151.0,Angola,AGO,AGO,20201224
0.52547,0.006025,6933.0,Argentina,ARG,ARG,20201224
0.298596,0.044876,105.0,Armenia,ARM,ARM,20201224
0.463097,0.007108,4968.0,Australia,AUS,AUS,20201224
0.284345,0.010152,1983.0,Austria,AUT,AUT,20201224
0.2528,0.025191,302.0,Azerbaijan,AZE,AZE,20201224
0.728436,0.011238,1583.0,Bangladesh,BGD,BGD,20201224
0.368419,0.017525,763.0,Belarus,BLR,BLR,20201224
0.331874,0.01034,2148.0,Belgium,BEL,BEL,20201224
0.543458,0.011681,1818.0,Bolivia,BOL,BOL,20201224
0.33309,0.025459,366.0,Bosnia and Herzegovina,BIH,BIH,20201224
0.707247,0.002374,36753.0,Brazil,BRA,BRA,20201224
0.290986,0.013854,1085.0,Bulgaria,BGR,BGR,20201224
0.397409,0.047999,104.0,Burkina Faso,BFA,BFA,20201224
0.672672,0.033999,195.0,Cambodia,KHM,KHM,20201224
0.410897,0.039127,149.0,Cameroon,CMR,CMR,20201224
0.44294,0.005551,8024.0,Canada,CAN,CAN,20201224
0.511485,0.008276,3648.0,Chile,CHL,CHL,20201224
0.60846,0.005486,7921.0,Colombia,COL,COL,20201224
0.656094,0.011657,1664.0,Costa Rica,CRI,CRI,20201224
0.463716,0.03685,185.0,C̫te d'Ivoire,CIV,CIV,20201224
0.297967,0.013662,1119.0,Croatia,HRV,HRV,20201224
0.221345,0.008724,2268.0,Czech Republic,CZE,CZE,20201224
0.447485,0.008207,3712.0,Denmark,DNK,DNK,20201224
0.483505,0.015407,1055.0,Dominican Republic,DOM,DOM,20201224
0.540497,0.009247,2911.0,Ecuador,ECU,ECU,20201224
0.527956,0.007085,4971.0,Egypt,EGY,EGY,20201224
0.57925,0.013784,1294.0,El Salvador,SLV,SLV,20201224
0.709668,0.029607,237.0,Ethiopia,ETH,ETH,20201224
0.513366,0.015385,1075.0,Finland,FIN,FIN,20201224
0.29722,0.004448,10581.0,France,FRA,FRA,20201224
0.33789,0.004073,13494.0,Germany,DEU,DEU,20201224
0.571326,0.022275,500.0,Ghana,GHA,GHA,20201224
0.495848,0.011283,1980.0,Greece,GRC,GRC,20201224
0.637224,0.013722,1235.0,Guatemala,GTM,GTM,20201224
0.621376,0.017202,792.0,Honduras,HND,HND,20201224
0.415829,0.016333,917.0,Hong Kong,HKG,HKG,20201224
0.309458,0.007276,4037.0,Hungary,HUN,HUN,20201224
0.631286,0.004294,12627.0,India,IND,IND,20201224
0.357229,0.005962,6473.0,Indonesia,IDN,IDN,20201224
0.480899,0.012659,1593.0,Iraq,IRQ,IRQ,20201224
0.532611,0.011908,1769.0,Ireland,IRL,IRL,20201224
0.468393,0.010091,2536.0,Israel,ISR,ISR,20201224
0.515529,0.004449,12679.0,Italy,ITA,ITA,20201224
0.399025,0.0031,24948.0,Japan,JPN,JPN,20201224
0.32262,0.014262,1080.0,Jordan,JOR,JOR,20201224
0.261236,0.021168,430.0,Kazakhstan,KAZ,KAZ,20201224
0.688165,0.013371,1204.0,Kenya,KEN,KEN,20201224
0.438564,0.029768,286.0,Kuwait,KWT,KWT,20201224
0.401928,0.039002,173.0,Kyrgyzstan,KGZ,KGZ,20201224
0.601566,0.046753,113.0,Laos,LAO,LAO,20201224
0.463218,0.023155,468.0,Lebanon,LBN,LBN,20201224
0.557794,0.020181,613.0,Libya,LBY,LBY,20201224
0.557778,0.010214,2369.0,Malaysia,MYS,MYS,20201224
0.649849,0.048163,105.0,Mali,MLI,MLI,20201224
0.695424,0.00272,28626.0,Mexico,MEX,MEX,20201224
0.393128,0.025063,374.0,Moldova,MDA,MDA,20201224
0.451214,0.017926,773.0,Morocco,MAR,MAR,20201224
0.637458,0.043475,126.0,Mozambique,MOZ,MOZ,20201224
0.721386,0.014377,975.0,Myanmar,MMR,MMR,20201224
0.710568,0.015659,853.0,Nepal,NPL,NPL,20201224
0.291412,0.006327,5220.0,Netherlands,NLD,NLD,20201224
0.452925,0.012588,1569.0,New Zealand,NZL,NZL,20201224
0.716361,0.017107,695.0,Nicaragua,NIC,NIC,20201224
0.647049,0.011662,1684.0,Nigeria,NGA,NGA,20201224
0.472089,0.009127,2994.0,Norway,NOR,NOR,20201224
0.520747,0.042592,142.0,Oman,OMN,OMN,20201224
0.635286,0.009938,2351.0,Pakistan,PAK,PAK,20201224
0.445245,0.02297,487.0,Palestine,PSE,PSE,20201224
0.504714,0.017562,814.0,Panama,PAN,PAN,20201224
0.479159,0.019563,665.0,Paraguay,PRY,PRY,20201224
0.53953,0.009647,2684.0,Peru,PER,PER,20201224
0.538037,0.008049,3841.0,Philippines,PHL,PHL,20201224
0.376016,0.008002,3676.0,Poland,POL,POL,20201224
0.600353,0.008655,3266.0,Portugal,PRT,PRT,20201224
0.67148,0.011611,1661.0,"Puerto Rico, U.S.",PRI,PRI,20201224
0.555024,0.03282,261.0,Qatar,QAT,QAT,20201224
0.367616,0.008605,3141.0,Romania,ROU,ROU,20201224
0.305476,0.007366,3918.0,Russia,RUS,RUS,20201224
0.509302,0.014285,1213.0,Saudi Arabia,SAU,SAU,20201224
0.252849,0.012563,1202.0,Serbia,SRB,SRB,20201224
0.464763,0.020601,589.0,Singapore,SGP,SGP,20201224
0.323558,0.01196,1535.0,Slovakia,SVK,SVK,20201224
0.297341,0.019199,567.0,Slovenia,SVN,SVN,20201224
0.466146,0.008247,3697.0,South Africa,ZAF,ZAF,20201224
0.572307,0.009709,2581.0,South Korea,KOR,KOR,20201224
0.488768,0.005651,7839.0,Spain,ESP,ESP,20201224
0.710949,0.021573,442.0,Sri Lanka,LKA,LKA,20201224
0.54988,0.019735,642.0,Sudan,SDN,SDN,20201224
0.485331,0.005443,8786.0,Sweden,SWE,SWE,20201224
0.284547,0.009841,2107.0,Switzerland,CHE,CHE,20201224
0.2619,0.005776,5803.0,Taiwan,TWN,TWN,20201224
0.522343,0.048128,111.0,Tanzania,TZA,TZA,20201224
0.57767,0.004622,11432.0,Thailand,THA,THA,20201224
0.448617,0.016786,883.0,Tunisia,TUN,TUN,20201224
0.389934,0.006108,6384.0,Turkey,TUR,TUR,20201224
0.37525,0.006845,5002.0,Ukraine,UKR,UKR,20201224
0.574314,0.016195,944.0,United Arab Emirates,ARE,ARE,20201224
0.47428,0.005429,8465.0,United Kingdom,GBR,GBR,20201224
0.518203,0.010708,2200.0,Uruguay,URY,URY,20201224
0.429568,0.031409,249.0,Uzbekistan,UZB,UZB,20201224
0.631911,0.010104,2302.0,Venezuela,VEN,VEN,20201224
0.65644,0.007208,4334.0,Vietnam,VNM,VNM,20201224
0.398051,0.029496,277.0,Yemen,YEM,YEM,20201224
0.697157,0.02314,405.0,Afghanistan,AFG,AFG,20201225
0.467981,0.030853,272.0,Albania,ALB,ALB,20201225
0.349624,0.013217,1308.0,Algeria,DZA,DZA,20201225
0.660582,0.033855,196.0,Angola,AGO,AGO,20201225
0.526144,0.005311,8906.0,Argentina,ARG,ARG,20201225
0.320948,0.039999,137.0,Armenia,ARM,ARM,20201225
0.46189,0.00634,6236.0,Australia,AUS,AUS,20201225
0.281801,0.008811,2616.0,Austria,AUT,AUT,20201225
0.243444,0.022205,386.0,Azerbaijan,AZE,AZE,20201225
0.735459,0.009906,2000.0,Bangladesh,BGD,BGD,20201225
0.384653,0.015392,1007.0,Belarus,BLR,BLR,20201225
0.33115,0.009102,2752.0,Belgium,BEL,BEL,20201225
0.535465,0.010468,2268.0,Bolivia,BOL,BOL,20201225
