smoothed_pct_hes_dontbelieve,smoothed_hes_dontbelieve_se,sample_size,country,iso_code,gid_0,survey_date
0.166284,0.033986,122.0,Moldova,MDA,MDA,20210207
0.220515,0.030416,192.0,Morocco,MAR,MAR,20210207
0.074324,0.023309,129.0,Mozambique,MOZ,MOZ,20210207
0.062672,0.016422,221.0,Nepal,NPL,NPL,20210207
0.275906,0.015195,866.0,Netherlands,NLD,NLD,20210207
0.142018,0.01581,488.0,New Zealand,NZL,NZL,20210207
0.110591,0.025079,159.0,Nicaragua,NIC,NIC,20210207
0.194463,0.016696,566.0,Nigeria,NGA,NGA,20210207
0.115778,0.013655,534.0,Norway,NOR,NOR,20210207
0.158469,0.017602,433.0,Pakistan,PAK,PAK,20210207
0.247333,0.041803,108.0,Palestine,PSE,PSE,20210207
0.058477,0.018154,175.0,Panama,PAN,PAN,20210207
0.097768,0.01866,249.0,Paraguay,PRY,PRY,20210207
0.056622,0.006295,1349.0,Peru,PER,PER,20210207
0.073538,0.00653,1596.0,Philippines,PHL,PHL,20210207
0.226897,0.012581,1110.0,Poland,POL,POL,20210207
0.028725,0.004779,1222.0,Portugal,PRT,PRT,20210207
0.067239,0.015276,260.0,"Puerto Rico, U.S.",PRI,PRI,20210207
0.219387,0.014471,816.0,Romania,ROU,ROU,20210207
0.194627,0.009798,1649.0,Russia,RUS,RUS,20210207
0.136904,0.018997,329.0,Saudi Arabia,SAU,SAU,20210207
0.217261,0.020286,414.0,Serbia,SRB,SRB,20210207
0.076442,0.026206,104.0,Singapore,SGP,SGP,20210207
0.163505,0.017788,434.0,Slovakia,SVK,SVK,20210207
0.243413,0.03125,190.0,Slovenia,SVN,SVN,20210207
0.10951,0.010955,816.0,South Africa,ZAF,ZAF,20210207
0.047911,0.008512,637.0,South Korea,KOR,KOR,20210207
0.068273,0.005647,1998.0,Spain,ESP,ESP,20210207
0.046352,0.019876,114.0,Sri Lanka,LKA,LKA,20210207
0.173669,0.029276,152.0,Sudan,SDN,SDN,20210207
0.127517,0.00916,1327.0,Sweden,SWE,SWE,20210207
0.212997,0.016189,648.0,Switzerland,CHE,CHE,20210207
0.088375,0.005779,2414.0,Taiwan,TWN,TWN,20210207
