percent_hf,hf_se,percent_hf_unw,hf_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.593887,0.017436,0.594458,0.01744,794.0,Jordan,JOR,JOR,20200504
0.607177,0.031439,0.576613,0.031075,248.0,Kazakhstan,KAZ,KAZ,20200504
0.816897,0.01612,0.812606,0.015977,587.0,Kenya,KEN,KEN,20200504
0.580712,0.034613,0.613065,0.035067,199.0,Kuwait,KWT,KWT,20200504
0.74417,0.041559,0.730435,0.040866,115.0,Kyrgyzstan,KGZ,KGZ,20200504
0.691178,0.033044,0.716578,0.033876,187.0,Lebanon,LBN,LBN,20200504
0.402461,0.022727,0.477273,0.022314,484.0,Libya,LBY,LBY,20200504
0.517835,0.012926,0.545455,0.012971,1485.0,Malaysia,MYS,MYS,20200504
0.740585,0.003921,0.756554,0.004005,11978.0,Mexico,MEX,MEX,20200504
0.686295,0.030236,0.692308,0.030398,234.0,Moldova,MDA,MDA,20200504
0.455221,0.018411,0.443073,0.018457,729.0,Morocco,MAR,MAR,20200504
0.865524,0.026786,0.815166,0.023542,211.0,Mozambique,MOZ,MOZ,20200504
0.524099,0.026717,0.487179,0.026695,351.0,Myanmar,MMR,MMR,20200504
0.662375,0.020406,0.653211,0.020275,545.0,Nepal,NPL,NPL,20200504
0.190785,0.007537,0.193748,0.007493,2751.0,Netherlands,NLD,NLD,20200504
0.2714,0.013614,0.314433,0.013039,1164.0,New Zealand,NZL,NZL,20200504
0.834312,0.012278,0.843003,0.012548,879.0,Nicaragua,NIC,NIC,20200504
0.742712,0.013253,0.760849,0.013581,1037.0,Nigeria,NGA,NGA,20200504
0.211026,0.010608,0.187915,0.011081,1357.0,Norway,NOR,NOR,20200504
0.565369,0.016935,0.536866,0.016835,868.0,Pakistan,PAK,PAK,20200504
0.649663,0.03341,0.705882,0.034981,187.0,Palestine,PSE,PSE,20200504
0.671803,0.02353,0.678481,0.023656,395.0,Panama,PAN,PAN,20200504
0.674912,0.021669,0.733813,0.022966,417.0,Paraguay,PRY,PRY,20200504
0.764715,0.008792,0.784117,0.009064,2191.0,Peru,PER,PER,20200504
0.679801,0.00976,0.690423,0.009849,2245.0,Philippines,PHL,PHL,20200504
0.559814,0.008754,0.584543,0.008818,3170.0,Poland,POL,POL,20200504
0.527673,0.009936,0.563804,0.010003,2492.0,Portugal,PRT,PRT,20200504
0.654068,0.015466,0.663812,0.015573,934.0,"Puerto Rico, U.S.",PRI,PRI,20200504
0.602775,0.034876,0.58209,0.0346,201.0,Qatar,QAT,QAT,20200504
0.451552,0.008636,0.487019,0.008598,3351.0,Romania,ROU,ROU,20200504
0.654803,0.011336,0.645342,0.011266,1782.0,Russia,RUS,RUS,20200504
0.516716,0.0182,0.567385,0.018358,742.0,Saudi Arabia,SAU,SAU,20200504
0.473085,0.018925,0.503577,0.018898,699.0,Serbia,SRB,SRB,20200504
0.416272,0.037248,0.423729,0.037157,177.0,Singapore,SGP,SGP,20200504
0.415406,0.019252,0.424242,0.019196,660.0,Slovakia,SVK,SVK,20200504
0.400955,0.025762,0.391667,0.025866,360.0,Slovenia,SVN,SVN,20200504
0.652518,0.01026,0.641061,0.010184,2187.0,South Africa,ZAF,ZAF,20200504
0.44875,0.016289,0.44086,0.016318,930.0,South Korea,KOR,KOR,20200504
0.492281,0.007724,0.547797,0.007759,4153.0,Spain,ESP,ESP,20200504
0.586546,0.027061,0.568452,0.026906,336.0,Sri Lanka,LKA,LKA,20200504
0.57985,0.032583,0.568966,0.032475,232.0,Sudan,SDN,SDN,20200504
0.207265,0.007298,0.209579,0.007269,3111.0,Sweden,SWE,SWE,20200504
0.309172,0.014035,0.306481,0.014069,1080.0,Switzerland,CHE,CHE,20200504
0.30605,0.009096,0.307304,0.009085,2574.0,Taiwan,TWN,TWN,20200504
0.606778,0.008682,0.646555,0.008871,3033.0,Thailand,THA,THA,20200504
0.511399,0.021416,0.505495,0.021412,546.0,Tunisia,TUN,TUN,20200504
0.646301,0.008859,0.621955,0.008735,2997.0,Turkey,TUR,TUR,20200504
0.714663,0.008028,0.748887,0.00836,2919.0,Ukraine,UKR,UKR,20200504
0.625693,0.017522,0.630263,0.017566,760.0,United Arab Emirates,ARE,ARE,20200504
0.319854,0.008436,0.359592,0.008199,3237.0,United Kingdom,GBR,GBR,20200504
0.639247,0.016467,0.66545,0.01676,822.0,Uruguay,URY,URY,20200504
0.503355,0.037145,0.483516,0.037164,182.0,Uzbekistan,UZB,UZB,20200504
0.853062,0.014253,0.868561,0.014934,563.0,Venezuela,VEN,VEN,20200504
0.564944,0.009107,0.607441,0.009246,2876.0,Vietnam,VNM,VNM,20200504
0.810849,0.04058,0.786408,0.038777,103.0,Yemen,YEM,YEM,20200504
0.634048,0.041281,0.598592,0.040566,142.0,Afghanistan,AFG,AFG,20200505
0.634577,0.035334,0.646739,0.035597,184.0,Albania,ALB,ALB,20200505
0.417382,0.017178,0.420798,0.017158,827.0,Algeria,DZA,DZA,20200505
0.639987,0.042164,0.666667,0.042933,126.0,Angola,AGO,AGO,20200505
0.745631,0.006176,0.766624,0.006359,4692.0,Argentina,ARG,ARG,20200505
0.64559,0.045039,0.62931,0.044605,116.0,Armenia,ARM,ARM,20200505
0.280201,0.01104,0.306193,0.010757,1744.0,Australia,AUS,AUS,20200505
0.336477,0.015228,0.369781,0.014905,1006.0,Austria,AUT,AUT,20200505
0.697008,0.041423,0.664122,0.040305,131.0,Azerbaijan,AZE,AZE,20200505
0.659983,0.018592,0.676656,0.018828,634.0,Bangladesh,BGD,BGD,20200505
0.64695,0.021956,0.688341,0.022655,446.0,Belarus,BLR,BLR,20200505
0.376411,0.016458,0.390909,0.016341,880.0,Belgium,BEL,BEL,20200505
0.78589,0.040582,0.792079,0.04102,101.0,Benin,BEN,BEN,20200505
0.774126,0.012394,0.788408,0.012689,1087.0,Bolivia,BOL,BOL,20200505
0.521051,0.039789,0.537975,0.039869,158.0,Bosnia and Herzegovina,BIH,BIH,20200505
0.708828,0.003653,0.729041,0.003734,14803.0,Brazil,BRA,BRA,20200505
0.538019,0.016657,0.533408,0.016646,898.0,Bulgaria,BGR,BGR,20200505
0.768448,0.038327,0.736842,0.036715,133.0,Burkina Faso,BFA,BFA,20200505
0.68717,0.046076,0.636364,0.044409,110.0,Cambodia,KHM,KHM,20200505
0.327206,0.009314,0.347859,0.009175,2616.0,Canada,CAN,CAN,20200505
0.713964,0.009757,0.726533,0.009892,2088.0,Chile,CHL,CHL,20200505
0.807315,0.006364,0.804113,0.006324,3890.0,Colombia,COL,COL,20200505
0.705563,0.013877,0.713748,0.013993,1062.0,Costa Rica,CRI,CRI,20200505
0.755832,0.037927,0.753846,0.037824,130.0,C̫te d'Ivoire,CIV,CIV,20200505
0.445543,0.020859,0.473868,0.020764,574.0,Croatia,HRV,HRV,20200505
0.258209,0.010603,0.299786,0.010129,1868.0,Czech Republic,CZE,CZE,20200505
0.117221,0.007179,0.116022,0.007211,1991.0,Denmark,DNK,DNK,20200505
0.729819,0.016808,0.759259,0.017458,648.0,Dominican Republic,DOM,DOM,20200505
0.839744,0.007657,0.873936,0.008463,1880.0,Ecuador,ECU,ECU,20200505
0.534267,0.009404,0.551465,0.009432,2798.0,Egypt,EGY,EGY,20200505
0.787353,0.012506,0.807229,0.012972,996.0,El Salvador,SLV,SLV,20200505
0.308181,0.013069,0.307137,0.013081,1247.0,Finland,FIN,FIN,20200505
0.390057,0.006667,0.429634,0.006569,5514.0,France,FRA,FRA,20200505
0.348753,0.007115,0.395428,0.006935,4724.0,Germany,DEU,DEU,20200505
0.529009,0.024506,0.513189,0.024473,417.0,Ghana,GHA,GHA,20200505
0.65982,0.013787,0.662702,0.013815,1177.0,Greece,GRC,GRC,20200505
0.797805,0.012183,0.809021,0.012448,1042.0,Guatemala,GTM,GTM,20200505
0.772984,0.012902,0.811752,0.013826,919.0,Honduras,HND,HND,20200505
0.341506,0.031789,0.349558,0.031614,226.0,Hong Kong,HKG,HKG,20200505
0.507596,0.008732,0.522762,0.00874,3273.0,Hungary,HUN,HUN,20200505
0.525673,0.007621,0.530893,0.007626,4289.0,India,IND,IND,20200505
0.678838,0.007112,0.702297,0.007262,4135.0,Indonesia,IDN,IDN,20200505
0.619794,0.019592,0.641667,0.019834,600.0,Iraq,IRQ,IRQ,20200505
0.294619,0.013814,0.357676,0.013138,1205.0,Ireland,IRL,IRL,20200505
0.523055,0.015509,0.509615,0.015495,1040.0,Israel,ISR,ISR,20200505
0.467795,0.00655,0.493823,0.006536,5828.0,Italy,ITA,ITA,20200505
0.423568,0.004918,0.44638,0.004888,10220.0,Japan,JPN,JPN,20200505
0.601032,0.017001,0.620098,0.017153,816.0,Jordan,JOR,JOR,20200505
0.598441,0.028408,0.593333,0.02835,300.0,Kazakhstan,KAZ,KAZ,20200505
0.803969,0.015845,0.805112,0.01588,626.0,Kenya,KEN,KEN,20200505
0.556625,0.034382,0.605911,0.034954,203.0,Kuwait,KWT,KWT,20200505
0.725726,0.04085,0.715447,0.040392,123.0,Kyrgyzstan,KGZ,KGZ,20200505
0.815971,0.032877,0.769697,0.030259,165.0,Lebanon,LBN,LBN,20200505
0.446283,0.023852,0.471526,0.023753,439.0,Libya,LBY,LBY,20200505
0.518487,0.013331,0.534618,0.013354,1401.0,Malaysia,MYS,MYS,20200505
0.735878,0.004021,0.748732,0.004087,11637.0,Mexico,MEX,MEX,20200505
0.688432,0.028745,0.729167,0.029958,240.0,Moldova,MDA,MDA,20200505
0.419585,0.018389,0.479026,0.018166,739.0,Morocco,MAR,MAR,20200505
0.658881,0.032295,0.708543,0.033692,199.0,Mozambique,MOZ,MOZ,20200505
0.354358,0.027054,0.436202,0.026094,337.0,Myanmar,MMR,MMR,20200505
0.60889,0.021802,0.641237,0.022182,485.0,Nepal,NPL,NPL,20200505
0.183792,0.007471,0.193052,0.007331,2792.0,Netherlands,NLD,NLD,20200505
0.300466,0.014051,0.328865,0.013711,1119.0,New Zealand,NZL,NZL,20200505
0.817995,0.012454,0.832962,0.012883,898.0,Nicaragua,NIC,NIC,20200505
0.767962,0.012737,0.780511,0.01299,1057.0,Nigeria,NGA,NGA,20200505
0.195533,0.010759,0.190083,0.010875,1331.0,Norway,NOR,NOR,20200505
0.542758,0.016277,0.535106,0.016257,940.0,Pakistan,PAK,PAK,20200505
0.659158,0.033374,0.639423,0.032945,208.0,Palestine,PSE,PSE,20200505
0.691446,0.022501,0.725888,0.0233,394.0,Panama,PAN,PAN,20200505
