smoothed_pct_hes_religious,smoothed_hes_religious_se,sample_size,country,iso_code,gid_0,survey_date
0.029216,0.007639,488.0,New Zealand,NZL,NZL,20210207
0.014743,0.009789,159.0,Nicaragua,NIC,NIC,20210207
0.028529,0.006958,566.0,Nigeria,NGA,NGA,20210207
0.014988,0.004948,534.0,Norway,NOR,NOR,20210207
0.026219,0.007692,433.0,Pakistan,PAK,PAK,20210207
0.008008,0.008601,108.0,Palestine,PSE,PSE,20210207
0.0,0.0,175.0,Panama,PAN,PAN,20210207
0.015057,0.00785,249.0,Paraguay,PRY,PRY,20210207
0.017172,0.00354,1349.0,Peru,PER,PER,20210207
0.015469,0.003092,1596.0,Philippines,PHL,PHL,20210207
0.019406,0.004145,1110.0,Poland,POL,POL,20210207
0.000657,0.000723,1222.0,Portugal,PRT,PRT,20210207
0.034888,0.011632,260.0,"Puerto Rico, U.S.",PRI,PRI,20210207
0.016765,0.004519,816.0,Romania,ROU,ROU,20210207
0.013285,0.002865,1649.0,Russia,RUS,RUS,20210207
0.022159,0.008163,329.0,Saudi Arabia,SAU,SAU,20210207
0.016306,0.006236,414.0,Serbia,SRB,SRB,20210207
0.005888,0.007982,104.0,Singapore,SGP,SGP,20210207
0.015957,0.005949,434.0,Slovakia,SVK,SVK,20210207
0.025438,0.011492,190.0,Slovenia,SVN,SVN,20210207
0.075613,0.009295,816.0,South Africa,ZAF,ZAF,20210207
0.004714,0.002767,637.0,South Korea,KOR,KOR,20210207
0.005184,0.001613,1998.0,Spain,ESP,ESP,20210207
0.0,0.0,114.0,Sri Lanka,LKA,LKA,20210207
0.01153,0.008612,152.0,Sudan,SDN,SDN,20210207
0.002064,0.001247,1327.0,Sweden,SWE,SWE,20210207
0.015343,0.004802,648.0,Switzerland,CHE,CHE,20210207
0.000757,0.000564,2414.0,Taiwan,TWN,TWN,20210207
0.006229,0.00196,1612.0,Thailand,THA,THA,20210207
0.006568,0.0039,430.0,Tunisia,TUN,TUN,20210207
0.009624,0.002451,1592.0,Turkey,TUR,TUR,20210207
0.012535,0.002566,1882.0,Ukraine,UKR,UKR,20210207
0.0,0.0,143.0,United Arab Emirates,ARE,ARE,20210207
0.018444,0.004035,1115.0,United Kingdom,GBR,GBR,20210207
0.007632,0.00394,503.0,Uruguay,URY,URY,20210207
0.026608,0.016622,117.0,Uzbekistan,UZB,UZB,20210207
0.006517,0.003089,696.0,Venezuela,VEN,VEN,20210207
0.004752,0.001303,2760.0,Vietnam,VNM,VNM,20210207
0.022876,0.014663,123.0,Afghanistan,AFG,AFG,20210208
0.010596,0.008638,139.0,Albania,ALB,ALB,20210208
0.026042,0.006182,705.0,Algeria,DZA,DZA,20210208
0.007915,0.001526,3366.0,Argentina,ARG,ARG,20210208
0.014296,0.002827,1763.0,Australia,AUS,AUS,20210208
0.029607,0.00608,777.0,Austria,AUT,AUT,20210208
0.008591,0.007656,152.0,Azerbaijan,AZE,AZE,20210208
0.031557,0.006743,665.0,Bangladesh,BGD,BGD,20210208
0.006502,0.003988,449.0,Belarus,BLR,BLR,20210208
0.011271,0.003565,876.0,Belgium,BEL,BEL,20210208
0.017333,0.00438,885.0,Bolivia,BOL,BOL,20210208
0.040015,0.013448,221.0,Bosnia and Herzegovina,BIH,BIH,20210208
0.018694,0.001521,7959.0,Brazil,BRA,BRA,20210208
0.003017,0.001945,838.0,Bulgaria,BGR,BGR,20210208
0.029647,0.016043,116.0,Cameroon,CMR,CMR,20210208
0.01854,0.002715,2446.0,Canada,CAN,CAN,20210208
0.016093,0.003457,1340.0,Chile,CHL,CHL,20210208
0.02008,0.00258,2995.0,Colombia,COL,COL,20210208
0.032117,0.010112,305.0,Costa Rica,CRI,CRI,20210208
0.058585,0.02154,143.0,C̫te d'Ivoire,CIV,CIV,20210208
0.007016,0.003963,447.0,Croatia,HRV,HRV,20210208
0.013894,0.003167,1366.0,Czech Republic,CZE,CZE,20210208
