smoothed_trust_govt,smoothed_trust_govt_se,sample_size,country,iso_code,gid_0,survey_date
0.66219,0.010984,1853.0,Vietnam,VNM,VNM,20201222
0.217938,0.040996,106.0,Yemen,YEM,YEM,20201222
0.511442,0.033212,230.0,Afghanistan,AFG,AFG,20201223
0.362858,0.039995,148.0,Albania,ALB,ALB,20201223
0.306271,0.017774,675.0,Algeria,DZA,DZA,20201223
0.500274,0.048804,107.0,Angola,AGO,AGO,20201223
0.409247,0.006893,5111.0,Argentina,ARG,ARG,20201223
0.464022,0.0081,3811.0,Australia,AUS,AUS,20201223
0.281161,0.011762,1466.0,Austria,AUT,AUT,20201223
0.248952,0.029464,218.0,Azerbaijan,AZE,AZE,20201223
0.638721,0.014929,1049.0,Bangladesh,BGD,BGD,20201223
0.122448,0.013743,553.0,Belarus,BLR,BLR,20201223
0.326894,0.012115,1566.0,Belgium,BEL,BEL,20201223
0.432321,0.013454,1358.0,Bolivia,BOL,BOL,20201223
0.227421,0.028754,242.0,Bosnia and Herzegovina,BIH,BIH,20201223
0.527887,0.00302,27318.0,Brazil,BRA,BRA,20201223
0.278791,0.016252,759.0,Bulgaria,BGR,BGR,20201223
0.439829,0.044864,126.0,Cambodia,KHM,KHM,20201223
0.431763,0.006493,5836.0,Canada,CAN,CAN,20201223
0.423302,0.009523,2695.0,Chile,CHL,CHL,20201223
0.533254,0.006463,5960.0,Colombia,COL,COL,20201223
0.626625,0.013906,1209.0,Costa Rica,CRI,CRI,20201223
0.421031,0.046274,114.0,C̫te d'Ivoire,CIV,CIV,20201223
0.172118,0.013421,791.0,Croatia,HRV,HRV,20201223
0.223635,0.010381,1609.0,Czech Republic,CZE,CZE,20201223
0.535683,0.009315,2865.0,Denmark,DNK,DNK,20201223
0.388625,0.017482,781.0,Dominican Republic,DOM,DOM,20201223
0.429179,0.010543,2203.0,Ecuador,ECU,ECU,20201223
0.387769,0.008251,3475.0,Egypt,EGY,EGY,20201223
