smoothed_trust_healthcare,smoothed_trust_healthcare_se,sample_size,country,iso_code,gid_0,survey_date
0.607124,0.004338,12722.0,Italy,ITA,ITA,20201224
0.573389,0.003126,25030.0,Japan,JPN,JPN,20201224
0.336612,0.014347,1087.0,Jordan,JOR,JOR,20201224
0.170571,0.018211,427.0,Kazakhstan,KAZ,KAZ,20201224
0.585278,0.014453,1165.0,Kenya,KEN,KEN,20201224
0.474648,0.029485,293.0,Kuwait,KWT,KWT,20201224
0.35875,0.038246,171.0,Kyrgyzstan,KGZ,KGZ,20201224
0.428545,0.046777,113.0,Laos,LAO,LAO,20201224
0.4013,0.022719,464.0,Lebanon,LBN,LBN,20201224
0.548333,0.020293,614.0,Libya,LBY,LBY,20201224
0.52418,0.010297,2359.0,Malaysia,MYS,MYS,20201224
0.567847,0.050577,104.0,Mali,MLI,MLI,20201224
0.646144,0.002839,28347.0,Mexico,MEX,MEX,20201224
0.304563,0.023543,376.0,Moldova,MDA,MDA,20201224
0.461702,0.017916,775.0,Morocco,MAR,MAR,20201224
0.601141,0.044009,123.0,Mozambique,MOZ,MOZ,20201224
0.666283,0.015046,986.0,Myanmar,MMR,MMR,20201224
0.577724,0.017176,838.0,Nepal,NPL,NPL,20201224
0.301509,0.006405,5218.0,Netherlands,NLD,NLD,20201224
0.510325,0.01262,1574.0,New Zealand,NZL,NZL,20201224
0.516586,0.019576,654.0,Nicaragua,NIC,NIC,20201224
0.473197,0.012387,1622.0,Nigeria,NGA,NGA,20201224
0.463801,0.00913,2989.0,Norway,NOR,NOR,20201224
0.520868,0.041975,145.0,Oman,OMN,OMN,20201224
0.471255,0.010371,2309.0,Pakistan,PAK,PAK,20201224
0.396347,0.022614,485.0,Palestine,PSE,PSE,20201224
0.598785,0.017296,804.0,Panama,PAN,PAN,20201224
0.533628,0.019631,648.0,Paraguay,PRY,PRY,20201224
0.511772,0.00973,2659.0,Peru,PER,PER,20201224
0.465377,0.008099,3796.0,Philippines,PHL,PHL,20201224
0.37331,0.007994,3667.0,Poland,POL,POL,20201224
0.606346,0.008643,3257.0,Portugal,PRT,PRT,20201224
0.690481,0.011426,1658.0,"Puerto Rico, U.S.",PRI,PRI,20201224
0.566368,0.033172,259.0,Qatar,QAT,QAT,20201224
0.412702,0.008742,3176.0,Romania,ROU,ROU,20201224
0.255884,0.006996,3906.0,Russia,RUS,RUS,20201224
0.514454,0.014372,1208.0,Saudi Arabia,SAU,SAU,20201224
0.315995,0.013439,1220.0,Serbia,SRB,SRB,20201224
0.540722,0.020618,587.0,Singapore,SGP,SGP,20201224
0.427164,0.01253,1560.0,Slovakia,SVK,SVK,20201224
0.407339,0.020617,571.0,Slovenia,SVN,SVN,20201224
0.465422,0.008281,3665.0,South Africa,ZAF,ZAF,20201224
0.67227,0.009191,2591.0,South Korea,KOR,KOR,20201224
0.612451,0.005511,7824.0,Spain,ESP,ESP,20201224
0.505657,0.023646,439.0,Sri Lanka,LKA,LKA,20201224
0.446235,0.019792,632.0,Sudan,SDN,SDN,20201224
0.527616,0.005419,8856.0,Sweden,SWE,SWE,20201224
0.360104,0.010441,2120.0,Switzerland,CHE,CHE,20201224
0.553122,0.006513,5838.0,Taiwan,TWN,TWN,20201224
0.504705,0.047841,111.0,Tanzania,TZA,TZA,20201224
0.550613,0.004645,11478.0,Thailand,THA,THA,20201224
0.415559,0.016283,905.0,Tunisia,TUN,TUN,20201224
0.358301,0.006047,6295.0,Turkey,TUR,TUR,20201224
0.295234,0.006533,4877.0,Ukraine,UKR,UKR,20201224
0.490487,0.016401,936.0,United Arab Emirates,ARE,ARE,20201224
0.496867,0.005439,8456.0,United Kingdom,GBR,GBR,20201224
0.543794,0.010639,2208.0,Uruguay,URY,URY,20201224
0.279535,0.028957,243.0,Uzbekistan,UZB,UZB,20201224
0.51893,0.010861,2132.0,Venezuela,VEN,VEN,20201224
0.526931,0.007636,4285.0,Vietnam,VNM,VNM,20201224
0.325704,0.028424,277.0,Yemen,YEM,YEM,20201224
0.519575,0.024992,403.0,Afghanistan,AFG,AFG,20201225
0.413941,0.030061,269.0,Albania,ALB,ALB,20201225
0.353589,0.01311,1334.0,Algeria,DZA,DZA,20201225
0.612847,0.035111,197.0,Angola,AGO,AGO,20201225
0.578214,0.005275,8831.0,Argentina,ARG,ARG,20201225
0.269596,0.03787,142.0,Armenia,ARM,ARM,20201225
0.515288,0.006338,6257.0,Australia,AUS,AUS,20201225
0.342142,0.009268,2626.0,Austria,AUT,AUT,20201225
0.207177,0.020979,385.0,Azerbaijan,AZE,AZE,20201225
0.573747,0.011209,1965.0,Bangladesh,BGD,BGD,20201225
0.230259,0.013298,1001.0,Belarus,BLR,BLR,20201225
0.402443,0.009444,2774.0,Belgium,BEL,BEL,20201225
0.562113,0.010477,2244.0,Bolivia,BOL,BOL,20201225
0.308509,0.022074,469.0,Bosnia and Herzegovina,BIH,BIH,20201225
0.683762,0.002159,46412.0,Brazil,BRA,BRA,20201225
0.364176,0.012988,1383.0,Bulgaria,BGR,BGR,20201225
0.394704,0.042272,133.0,Burkina Faso,BFA,BFA,20201225
0.423624,0.032894,228.0,Cambodia,KHM,KHM,20201225
0.366285,0.034849,181.0,Cameroon,CMR,CMR,20201225
0.517408,0.00497,10147.0,Canada,CAN,CAN,20201225
0.588307,0.007197,4668.0,Chile,CHL,CHL,20201225
0.604417,0.004942,9807.0,Colombia,COL,COL,20201225
0.694482,0.010062,2096.0,Costa Rica,CRI,CRI,20201225
0.423415,0.032298,239.0,C̫te d'Ivoire,CIV,CIV,20201225
0.327161,0.01246,1425.0,Croatia,HRV,HRV,20201225
