smoothed_pct_hes_sideeffects,smoothed_hes_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.440033,0.041591,148.0,Ethiopia,ETH,ETH,20210208
0.587835,0.031492,249.0,Finland,FIN,FIN,20210208
0.519965,0.006135,6632.0,France,FRA,FRA,20210208
0.533714,0.007034,5042.0,Germany,DEU,DEU,20210208
0.602795,0.023053,460.0,Ghana,GHA,GHA,20210208
0.522154,0.014486,1196.0,Greece,GRC,GRC,20210208
0.581297,0.023473,451.0,Guatemala,GTM,GTM,20210208
0.611716,0.02313,456.0,Honduras,HND,HND,20210208
0.649712,0.026915,325.0,Hong Kong,HKG,HKG,20210208
0.492785,0.012077,1719.0,Hungary,HUN,HUN,20210208
0.333228,0.007359,4114.0,India,IND,IND,20210208
0.45965,0.009997,2492.0,Indonesia,IDN,IDN,20210208
0.49509,0.018426,760.0,Iraq,IRQ,IRQ,20210208
0.584742,0.024724,395.0,Ireland,IRL,IRL,20210208
0.520754,0.025572,379.0,Israel,ISR,ISR,20210208
0.460329,0.007957,3925.0,Italy,ITA,ITA,20210208
0.605953,0.003931,15469.0,Japan,JPN,JPN,20210208
0.466785,0.024582,422.0,Jordan,JOR,JOR,20210208
0.504496,0.027668,334.0,Kazakhstan,KAZ,KAZ,20210208
0.569721,0.02299,469.0,Kenya,KEN,KEN,20210208
0.506298,0.046138,122.0,Kuwait,KWT,KWT,20210208
0.386729,0.043552,118.0,Kyrgyzstan,KGZ,KGZ,20210208
0.548251,0.027738,325.0,Lebanon,LBN,LBN,20210208
0.47446,0.030413,277.0,Libya,LBY,LBY,20210208
0.532447,0.014714,1149.0,Malaysia,MYS,MYS,20210208
0.566795,0.005704,7548.0,Mexico,MEX,MEX,20210208
0.484519,0.037075,184.0,Moldova,MDA,MDA,20210208
0.556817,0.028504,303.0,Morocco,MAR,MAR,20210208
0.506949,0.034597,209.0,Mozambique,MOZ,MOZ,20210208
0.344548,0.026137,339.0,Nepal,NPL,NPL,20210208
0.469778,0.013606,1350.0,Netherlands,NLD,NLD,20210208
0.502571,0.018461,734.0,New Zealand,NZL,NZL,20210208
0.549365,0.032002,244.0,Nicaragua,NIC,NIC,20210208
0.544999,0.017362,818.0,Nigeria,NGA,NGA,20210208
0.544179,0.017563,807.0,Norway,NOR,NOR,20210208
0.385924,0.019109,658.0,Pakistan,PAK,PAK,20210208
0.612397,0.040342,165.0,Palestine,PSE,PSE,20210208
0.5707,0.032071,240.0,Panama,PAN,PAN,20210208
0.455171,0.025899,375.0,Paraguay,PRY,PRY,20210208
0.569879,0.011123,1980.0,Peru,PER,PER,20210208
0.665775,0.009638,2394.0,Philippines,PHL,PHL,20210208
0.542951,0.012276,1645.0,Poland,POL,POL,20210208
0.425394,0.011659,1802.0,Portugal,PRT,PRT,20210208
0.631009,0.024159,406.0,"Puerto Rico, U.S.",PRI,PRI,20210208
0.46292,0.014611,1171.0,Romania,ROU,ROU,20210208
0.448553,0.010199,2393.0,Russia,RUS,RUS,20210208
0.484889,0.022257,499.0,Saudi Arabia,SAU,SAU,20210208
0.40284,0.019953,605.0,Serbia,SRB,SRB,20210208
0.625842,0.037444,162.0,Singapore,SGP,SGP,20210208
0.46969,0.019797,639.0,Slovakia,SVK,SVK,20210208
0.466341,0.02888,300.0,Slovenia,SVN,SVN,20210208
0.543138,0.013934,1284.0,South Africa,ZAF,ZAF,20210208
0.680056,0.015403,921.0,South Korea,KOR,KOR,20210208
0.501401,0.009238,2933.0,Spain,ESP,ESP,20210208
0.539918,0.039208,164.0,Sri Lanka,LKA,LKA,20210208
0.44593,0.033923,216.0,Sudan,SDN,SDN,20210208
0.552322,0.011276,1949.0,Sweden,SWE,SWE,20210208
0.470766,0.016084,968.0,Switzerland,CHE,CHE,20210208
0.575772,0.008371,3495.0,Taiwan,TWN,TWN,20210208
0.389558,0.043199,129.0,Tanzania,TZA,TZA,20210208
0.569037,0.010304,2318.0,Thailand,THA,THA,20210208
0.654053,0.018646,652.0,Tunisia,TUN,TUN,20210208
0.481457,0.010472,2296.0,Turkey,TUR,TUR,20210208
0.487133,0.009473,2801.0,Ukraine,UKR,UKR,20210208
0.491768,0.032335,239.0,United Arab Emirates,ARE,ARE,20210208
0.474191,0.012222,1674.0,United Kingdom,GBR,GBR,20210208
0.576829,0.017717,779.0,Uruguay,URY,URY,20210208
0.511043,0.039175,179.0,Uzbekistan,UZB,UZB,20210208
0.595789,0.015179,1052.0,Venezuela,VEN,VEN,20210208
0.396786,0.007417,4356.0,Vietnam,VNM,VNM,20210208
0.448472,0.047854,109.0,Yemen,YEM,YEM,20210208
0.495297,0.039702,171.0,Afghanistan,AFG,AFG,20210209
0.388989,0.036512,185.0,Albania,ALB,ALB,20210209
0.502139,0.016391,942.0,Algeria,DZA,DZA,20210209
0.599732,0.045772,119.0,Angola,AGO,AGO,20210209
0.494348,0.007444,4516.0,Argentina,ARG,ARG,20210209
0.536716,0.011611,2366.0,Australia,AUS,AUS,20210209
0.488768,0.015656,1026.0,Austria,AUT,AUT,20210209
0.48162,0.037612,184.0,Azerbaijan,AZE,AZE,20210209
0.413099,0.017214,838.0,Bangladesh,BGD,BGD,20210209
0.507587,0.021207,569.0,Belarus,BLR,BLR,20210209
0.554391,0.014679,1153.0,Belgium,BEL,BEL,20210209
0.535094,0.014581,1183.0,Bolivia,BOL,BOL,20210209
0.454289,0.030023,294.0,Bosnia and Herzegovina,BIH,BIH,20210209
0.495727,0.004861,10605.0,Brazil,BRA,BRA,20210209
0.43935,0.015348,1059.0,Bulgaria,BGR,BGR,20210209
0.577293,0.037421,165.0,Cameroon,CMR,CMR,20210209
0.55338,0.008731,3246.0,Canada,CAN,CAN,20210209
0.610291,0.011672,1757.0,Chile,CHL,CHL,20210209
0.631338,0.007592,4033.0,Colombia,COL,COL,20210209
0.544779,0.024115,428.0,Costa Rica,CRI,CRI,20210209
0.55084,0.03576,199.0,C̫te d'Ivoire,CIV,CIV,20210209
0.489248,0.020557,594.0,Croatia,HRV,HRV,20210209
0.439803,0.011723,1796.0,Czech Republic,CZE,CZE,20210209
0.493781,0.047625,105.0,Democratic Republic of the Congo,COD,COD,20210209
0.52262,0.018058,769.0,Denmark,DNK,DNK,20210209
0.606925,0.019748,617.0,Dominican Republic,DOM,DOM,20210209
0.600456,0.011955,1712.0,Ecuador,ECU,ECU,20210209
0.557414,0.011081,2002.0,Egypt,EGY,EGY,20210209
0.637172,0.017803,736.0,El Salvador,SLV,SLV,20210209
0.461517,0.035344,206.0,Ethiopia,ETH,ETH,20210209
0.57883,0.027534,327.0,Finland,FIN,FIN,20210209
0.517369,0.005343,8754.0,France,FRA,FRA,20210209
0.53138,0.006136,6629.0,Germany,DEU,DEU,20210209
0.604149,0.020262,598.0,Ghana,GHA,GHA,20210209
0.529767,0.012615,1574.0,Greece,GRC,GRC,20210209
0.55986,0.019828,635.0,Guatemala,GTM,GTM,20210209
0.616277,0.019809,618.0,Honduras,HND,HND,20210209
0.644975,0.023179,438.0,Hong Kong,HKG,HKG,20210209
0.495957,0.010516,2268.0,Hungary,HUN,HUN,20210209
0.336858,0.006383,5494.0,India,IND,IND,20210209
0.476495,0.008691,3299.0,Indonesia,IDN,IDN,20210209
0.493186,0.015847,1020.0,Iraq,IRQ,IRQ,20210209
0.602212,0.020987,542.0,Ireland,IRL,IRL,20210209
0.528085,0.022415,494.0,Israel,ISR,ISR,20210209
0.455442,0.006919,5186.0,Italy,ITA,ITA,20210209
0.604276,0.003465,19945.0,Japan,JPN,JPN,20210209
0.458128,0.020848,592.0,Jordan,JOR,JOR,20210209
0.494707,0.024009,442.0,Kazakhstan,KAZ,KAZ,20210209
0.550928,0.019986,623.0,Kenya,KEN,KEN,20210209
0.514986,0.040222,161.0,Kuwait,KWT,KWT,20210209
0.363414,0.037508,158.0,Kyrgyzstan,KGZ,KGZ,20210209
0.550149,0.024327,423.0,Lebanon,LBN,LBN,20210209
0.475222,0.026337,368.0,Libya,LBY,LBY,20210209
0.54178,0.012778,1524.0,Malaysia,MYS,MYS,20210209
0.564541,0.004918,10175.0,Mexico,MEX,MEX,20210209
0.495943,0.0311,262.0,Moldova,MDA,MDA,20210209
0.535851,0.025167,392.0,Morocco,MAR,MAR,20210209
0.519775,0.029733,283.0,Mozambique,MOZ,MOZ,20210209
0.348685,0.022775,452.0,Nepal,NPL,NPL,20210209
0.472303,0.011605,1858.0,Netherlands,NLD,NLD,20210209
0.495397,0.016153,959.0,New Zealand,NZL,NZL,20210209
0.578681,0.026483,348.0,Nicaragua,NIC,NIC,20210209
0.521287,0.014894,1115.0,Nigeria,NGA,NGA,20210209
0.557421,0.015036,1093.0,Norway,NOR,NOR,20210209
0.363472,0.016361,870.0,Pakistan,PAK,PAK,20210209
0.613034,0.03439,221.0,Palestine,PSE,PSE,20210209
0.548768,0.028708,302.0,Panama,PAN,PAN,20210209
0.442014,0.022626,490.0,Paraguay,PRY,PRY,20210209
0.560108,0.009691,2620.0,Peru,PER,PER,20210209
0.666936,0.008361,3178.0,Philippines,PHL,PHL,20210209
0.547801,0.010668,2176.0,Poland,POL,POL,20210209
0.424396,0.010163,2387.0,Portugal,PRT,PRT,20210209
0.625122,0.021648,513.0,"Puerto Rico, U.S.",PRI,PRI,20210209
0.484885,0.045666,116.0,Qatar,QAT,QAT,20210209
0.466643,0.012482,1605.0,Romania,ROU,ROU,20210209
0.450135,0.008861,3173.0,Russia,RUS,RUS,20210209
0.488931,0.019822,637.0,Saudi Arabia,SAU,SAU,20210209
0.394214,0.01716,812.0,Serbia,SRB,SRB,20210209
0.600694,0.03252,221.0,Singapore,SGP,SGP,20210209
0.478968,0.017252,842.0,Slovakia,SVK,SVK,20210209
0.492111,0.024826,406.0,Slovenia,SVN,SVN,20210209
0.534201,0.012034,1724.0,South Africa,ZAF,ZAF,20210209
0.666794,0.013646,1195.0,South Korea,KOR,KOR,20210209
0.499106,0.008089,3828.0,Spain,ESP,ESP,20210209
0.529614,0.03363,225.0,Sri Lanka,LKA,LKA,20210209
0.467769,0.029921,282.0,Sudan,SDN,SDN,20210209
0.560294,0.009779,2590.0,Sweden,SWE,SWE,20210209
0.465361,0.014084,1260.0,Switzerland,CHE,CHE,20210209
0.579454,0.007267,4625.0,Taiwan,TWN,TWN,20210209
0.384499,0.036927,179.0,Tanzania,TZA,TZA,20210209
0.576603,0.008929,3072.0,Thailand,THA,THA,20210209
0.665707,0.016089,867.0,Tunisia,TUN,TUN,20210209
0.479694,0.009274,2922.0,Turkey,TUR,TUR,20210209
0.497584,0.008272,3670.0,Ukraine,UKR,UKR,20210209
0.485476,0.027956,321.0,United Arab Emirates,ARE,ARE,20210209
0.468508,0.010656,2212.0,United Kingdom,GBR,GBR,20210209
