smoothed_pct_hes_otherpeople,smoothed_hes_otherpeople_se,sample_size,country,iso_code,gid_0,survey_date
0.395744,0.038956,159.0,Nicaragua,NIC,NIC,20210207
0.202329,0.016924,566.0,Nigeria,NGA,NGA,20210207
0.533607,0.021716,534.0,Norway,NOR,NOR,20210207
0.289525,0.021814,433.0,Pakistan,PAK,PAK,20210207
0.279301,0.043578,108.0,Palestine,PSE,PSE,20210207
0.283584,0.034417,175.0,Panama,PAN,PAN,20210207
0.305073,0.029353,249.0,Paraguay,PRY,PRY,20210207
0.253498,0.01185,1349.0,Peru,PER,PER,20210207
0.261656,0.011003,1596.0,Philippines,PHL,PHL,20210207
0.344429,0.014267,1110.0,Poland,POL,POL,20210207
0.618884,0.013835,1222.0,Portugal,PRT,PRT,20210207
0.314477,0.02902,260.0,"Puerto Rico, U.S.",PRI,PRI,20210207
0.306765,0.016173,816.0,Romania,ROU,ROU,20210207
0.158213,0.009022,1649.0,Russia,RUS,RUS,20210207
0.290577,0.02511,329.0,Saudi Arabia,SAU,SAU,20210207
0.303369,0.022647,414.0,Serbia,SRB,SRB,20210207
0.314524,0.046022,104.0,Singapore,SGP,SGP,20210207
0.328366,0.0226,434.0,Slovakia,SVK,SVK,20210207
0.491496,0.036048,190.0,Slovenia,SVN,SVN,20210207
0.292928,0.015998,816.0,South Africa,ZAF,ZAF,20210207
0.334464,0.018736,637.0,South Korea,KOR,KOR,20210207
0.485927,0.011184,1998.0,Spain,ESP,ESP,20210207
0.393705,0.045612,114.0,Sri Lanka,LKA,LKA,20210207
0.244432,0.035491,152.0,Sudan,SDN,SDN,20210207
0.498212,0.013727,1327.0,Sweden,SWE,SWE,20210207
0.517841,0.019717,648.0,Switzerland,CHE,CHE,20210207
0.486734,0.010178,2414.0,Taiwan,TWN,TWN,20210207
0.47083,0.012439,1612.0,Thailand,THA,THA,20210207
0.274696,0.02154,430.0,Tunisia,TUN,TUN,20210207
0.280549,0.011266,1592.0,Turkey,TUR,TUR,20210207
0.203435,0.009296,1882.0,Ukraine,UKR,UKR,20210207
0.207567,0.03267,143.0,United Arab Emirates,ARE,ARE,20210207
0.474565,0.014972,1115.0,United Kingdom,GBR,GBR,20210207
0.294136,0.02043,503.0,Uruguay,URY,URY,20210207
0.231798,0.041985,117.0,Uzbekistan,UZB,UZB,20210207
0.29391,0.017339,696.0,Venezuela,VEN,VEN,20210207
0.458856,0.009487,2760.0,Vietnam,VNM,VNM,20210207
0.279871,0.047052,123.0,Afghanistan,AFG,AFG,20210208
0.241771,0.036987,139.0,Albania,ALB,ALB,20210208
0.306801,0.017505,705.0,Algeria,DZA,DZA,20210208
0.390176,0.008411,3366.0,Argentina,ARG,ARG,20210208
0.366587,0.011477,1763.0,Australia,AUS,AUS,20210208
0.363813,0.017286,777.0,Austria,AUT,AUT,20210208
0.276407,0.036699,152.0,Azerbaijan,AZE,AZE,20210208
0.38154,0.018839,665.0,Bangladesh,BGD,BGD,20210208
0.160265,0.017344,449.0,Belarus,BLR,BLR,20210208
0.415657,0.016684,876.0,Belgium,BEL,BEL,20210208
0.323364,0.015725,885.0,Bolivia,BOL,BOL,20210208
0.26803,0.030139,221.0,Bosnia and Herzegovina,BIH,BIH,20210208
0.387814,0.005471,7959.0,Brazil,BRA,BRA,20210208
0.316132,0.016121,838.0,Bulgaria,BGR,BGR,20210208
0.263835,0.041476,116.0,Cameroon,CMR,CMR,20210208
0.456576,0.010081,2446.0,Canada,CAN,CAN,20210208
0.321597,0.012802,1340.0,Chile,CHL,CHL,20210208
0.336874,0.008643,2995.0,Colombia,COL,COL,20210208
0.425837,0.028422,305.0,Costa Rica,CRI,CRI,20210208
0.249856,0.037197,143.0,C̫te d'Ivoire,CIV,CIV,20210208
0.343572,0.022546,447.0,Croatia,HRV,HRV,20210208
0.466597,0.013512,1366.0,Czech Republic,CZE,CZE,20210208
0.470522,0.020419,592.0,Denmark,DNK,DNK,20210208
0.288819,0.021126,465.0,Dominican Republic,DOM,DOM,20210208
0.391299,0.014079,1217.0,Ecuador,ECU,ECU,20210208
0.261986,0.0113,1515.0,Egypt,EGY,EGY,20210208
0.321271,0.019963,554.0,El Salvador,SLV,SLV,20210208
0.287388,0.037993,148.0,Ethiopia,ETH,ETH,20210208
0.472263,0.031796,249.0,Finland,FIN,FIN,20210208
0.440552,0.006098,6632.0,France,FRA,FRA,20210208
0.408174,0.00693,5042.0,Germany,DEU,DEU,20210208
0.195528,0.018739,460.0,Ghana,GHA,GHA,20210208
0.343622,0.013779,1196.0,Greece,GRC,GRC,20210208
0.44061,0.023486,451.0,Guatemala,GTM,GTM,20210208
0.321892,0.022252,456.0,Honduras,HND,HND,20210208
0.31396,0.0261,325.0,Hong Kong,HKG,HKG,20210208
0.270424,0.010722,1719.0,Hungary,HUN,HUN,20210208
0.411615,0.007677,4114.0,India,IND,IND,20210208
0.31938,0.009359,2492.0,Indonesia,IDN,IDN,20210208
0.273936,0.016314,760.0,Iraq,IRQ,IRQ,20210208
0.45825,0.025086,395.0,Ireland,IRL,IRL,20210208
0.214125,0.021174,379.0,Israel,ISR,ISR,20210208
0.36623,0.007692,3925.0,Italy,ITA,ITA,20210208
0.295026,0.003668,15469.0,Japan,JPN,JPN,20210208
0.313497,0.02246,422.0,Jordan,JOR,JOR,20210208
0.168754,0.020467,334.0,Kazakhstan,KAZ,KAZ,20210208
0.241516,0.019838,469.0,Kenya,KEN,KEN,20210208
0.33758,0.043657,122.0,Kuwait,KWT,KWT,20210208
0.235634,0.039067,118.0,Kyrgyzstan,KGZ,KGZ,20210208
0.292628,0.025386,325.0,Lebanon,LBN,LBN,20210208
0.317054,0.028398,277.0,Libya,LBY,LBY,20210208
0.427532,0.014601,1149.0,Malaysia,MYS,MYS,20210208
0.421083,0.005684,7548.0,Mexico,MEX,MEX,20210208
0.242093,0.031294,184.0,Moldova,MDA,MDA,20210208
0.373392,0.028065,303.0,Morocco,MAR,MAR,20210208
0.374363,0.033652,209.0,Mozambique,MOZ,MOZ,20210208
0.404406,0.027275,339.0,Nepal,NPL,NPL,20210208
0.403902,0.013371,1350.0,Netherlands,NLD,NLD,20210208
0.45958,0.018439,734.0,New Zealand,NZL,NZL,20210208
0.395085,0.031496,244.0,Nicaragua,NIC,NIC,20210208
0.199718,0.01401,818.0,Nigeria,NGA,NGA,20210208
0.52591,0.017653,807.0,Norway,NOR,NOR,20210208
0.333511,0.018224,658.0,Pakistan,PAK,PAK,20210208
0.248137,0.036551,165.0,Palestine,PSE,PSE,20210208
0.307804,0.030035,240.0,Panama,PAN,PAN,20210208
0.28348,0.023553,375.0,Paraguay,PRY,PRY,20210208
0.265909,0.009942,1980.0,Peru,PER,PER,20210208
0.273803,0.009112,2394.0,Philippines,PHL,PHL,20210208
0.343057,0.011711,1645.0,Poland,POL,POL,20210208
0.624011,0.011384,1802.0,Portugal,PRT,PRT,20210208
0.348334,0.023989,406.0,"Puerto Rico, U.S.",PRI,PRI,20210208
0.327161,0.01374,1171.0,Romania,ROU,ROU,20210208
0.168333,0.007659,2393.0,Russia,RUS,RUS,20210208
0.279455,0.020135,499.0,Saudi Arabia,SAU,SAU,20210208
0.309301,0.018838,605.0,Serbia,SRB,SRB,20210208
0.341071,0.03768,162.0,Singapore,SGP,SGP,20210208
0.350385,0.018873,639.0,Slovakia,SVK,SVK,20210208
0.443246,0.028378,300.0,Slovenia,SVN,SVN,20210208
0.285792,0.012646,1284.0,South Africa,ZAF,ZAF,20210208
0.345121,0.015691,921.0,South Korea,KOR,KOR,20210208
0.486102,0.009235,2933.0,Spain,ESP,ESP,20210208
0.334605,0.036159,164.0,Sri Lanka,LKA,LKA,20210208
0.277066,0.031005,216.0,Sudan,SDN,SDN,20210208
0.501435,0.011333,1949.0,Sweden,SWE,SWE,20210208
0.519958,0.016121,968.0,Switzerland,CHE,CHE,20210208
0.492264,0.008471,3495.0,Taiwan,TWN,TWN,20210208
0.207001,0.036259,129.0,Tanzania,TZA,TZA,20210208
0.474915,0.010396,2318.0,Thailand,THA,THA,20210208
0.287044,0.017739,652.0,Tunisia,TUN,TUN,20210208
0.280657,0.009419,2296.0,Turkey,TUR,TUR,20210208
0.199841,0.007596,2801.0,Ukraine,UKR,UKR,20210208
0.219208,0.026231,239.0,United Arab Emirates,ARE,ARE,20210208
0.448637,0.012138,1674.0,United Kingdom,GBR,GBR,20210208
0.28951,0.016327,779.0,Uruguay,URY,URY,20210208
0.20928,0.031909,179.0,Uzbekistan,UZB,UZB,20210208
0.309092,0.014278,1052.0,Venezuela,VEN,VEN,20210208
0.471419,0.007562,4356.0,Vietnam,VNM,VNM,20210208
0.267303,0.042291,109.0,Yemen,YEM,YEM,20210208
0.272827,0.037984,171.0,Afghanistan,AFG,AFG,20210209
0.239387,0.031942,185.0,Albania,ALB,ALB,20210209
0.323815,0.01531,942.0,Algeria,DZA,DZA,20210209
0.327351,0.042793,119.0,Angola,AGO,AGO,20210209
0.386193,0.007248,4516.0,Argentina,ARG,ARG,20210209
0.369441,0.011218,2366.0,Australia,AUS,AUS,20210209
0.368426,0.015084,1026.0,Austria,AUT,AUT,20210209
0.27803,0.033769,184.0,Azerbaijan,AZE,AZE,20210209
0.354714,0.016568,838.0,Bangladesh,BGD,BGD,20210209
0.153477,0.015132,569.0,Belarus,BLR,BLR,20210209
0.407742,0.014502,1153.0,Belgium,BEL,BEL,20210209
0.325293,0.013697,1183.0,Bolivia,BOL,BOL,20210209
0.277424,0.026915,294.0,Bosnia and Herzegovina,BIH,BIH,20210209
0.389827,0.004743,10605.0,Brazil,BRA,BRA,20210209
0.309681,0.014322,1059.0,Bulgaria,BGR,BGR,20210209
0.281652,0.035386,165.0,Cameroon,CMR,CMR,20210209
0.447229,0.00873,3246.0,Canada,CAN,CAN,20210209
0.32459,0.011212,1757.0,Chile,CHL,CHL,20210209
0.34109,0.007472,4033.0,Colombia,COL,COL,20210209
0.42121,0.023976,428.0,Costa Rica,CRI,CRI,20210209
0.289868,0.032824,199.0,C̫te d'Ivoire,CIV,CIV,20210209
0.344835,0.019574,594.0,Croatia,HRV,HRV,20210209
0.457742,0.011763,1796.0,Czech Republic,CZE,CZE,20210209
0.25397,0.045531,105.0,Democratic Republic of the Congo,COD,COD,20210209
0.467301,0.01794,769.0,Denmark,DNK,DNK,20210209
0.277121,0.018095,617.0,Dominican Republic,DOM,DOM,20210209
0.39003,0.011885,1712.0,Ecuador,ECU,ECU,20210209
0.257677,0.009784,2002.0,Egypt,EGY,EGY,20210209
0.313766,0.017197,736.0,El Salvador,SLV,SLV,20210209
0.268694,0.031381,206.0,Ethiopia,ETH,ETH,20210209
0.448608,0.027551,327.0,Finland,FIN,FIN,20210209
0.447307,0.005315,8754.0,France,FRA,FRA,20210209
0.412941,0.006053,6629.0,Germany,DEU,DEU,20210209
0.200669,0.01665,598.0,Ghana,GHA,GHA,20210209
0.355834,0.01209,1574.0,Greece,GRC,GRC,20210209
0.425626,0.019703,635.0,Guatemala,GTM,GTM,20210209
0.358547,0.019489,618.0,Honduras,HND,HND,20210209
0.302112,0.022179,438.0,Hong Kong,HKG,HKG,20210209
0.273932,0.009376,2268.0,Hungary,HUN,HUN,20210209
0.412216,0.006645,5494.0,India,IND,IND,20210209
0.324085,0.008162,3299.0,Indonesia,IDN,IDN,20210209
0.268317,0.013964,1020.0,Iraq,IRQ,IRQ,20210209
0.406029,0.020815,542.0,Ireland,IRL,IRL,20210209
0.218961,0.018691,494.0,Israel,ISR,ISR,20210209
0.363586,0.006684,5186.0,Italy,ITA,ITA,20210209
0.292776,0.003224,19945.0,Japan,JPN,JPN,20210209
0.292207,0.01878,592.0,Jordan,JOR,JOR,20210209
0.182004,0.018306,442.0,Kazakhstan,KAZ,KAZ,20210209
0.227981,0.016839,623.0,Kenya,KEN,KEN,20210209
0.31744,0.037301,161.0,Kuwait,KWT,KWT,20210209
0.229012,0.03356,158.0,Kyrgyzstan,KGZ,KGZ,20210209
0.282961,0.022045,423.0,Lebanon,LBN,LBN,20210209
0.318173,0.0246,368.0,Libya,LBY,LBY,20210209
0.413914,0.012627,1524.0,Malaysia,MYS,MYS,20210209
0.421815,0.004899,10175.0,Mexico,MEX,MEX,20210209
0.26003,0.026904,262.0,Moldova,MDA,MDA,20210209
0.372917,0.024666,392.0,Morocco,MAR,MAR,20210209
0.390437,0.02912,283.0,Mozambique,MOZ,MOZ,20210209
0.407703,0.023698,452.0,Nepal,NPL,NPL,20210209
0.407009,0.011416,1858.0,Netherlands,NLD,NLD,20210209
0.462792,0.016138,959.0,New Zealand,NZL,NZL,20210209
0.362534,0.025778,348.0,Nicaragua,NIC,NIC,20210209
0.201463,0.01204,1115.0,Nigeria,NGA,NGA,20210209
0.512359,0.01516,1093.0,Norway,NOR,NOR,20210209
0.333581,0.015892,870.0,Pakistan,PAK,PAK,20210209
0.267426,0.031675,221.0,Palestine,PSE,PSE,20210209
0.317469,0.027025,302.0,Panama,PAN,PAN,20210209
0.307694,0.021105,490.0,Paraguay,PRY,PRY,20210209
0.271536,0.008696,2620.0,Peru,PER,PER,20210209
0.278279,0.007949,3178.0,Philippines,PHL,PHL,20210209
0.336553,0.010136,2176.0,Poland,POL,POL,20210209
0.622118,0.009939,2387.0,Portugal,PRT,PRT,20210209
0.331624,0.021185,513.0,"Puerto Rico, U.S.",PRI,PRI,20210209
0.332901,0.044252,116.0,Qatar,QAT,QAT,20210209
0.322095,0.011684,1605.0,Romania,ROU,ROU,20210209
0.167812,0.006648,3173.0,Russia,RUS,RUS,20210209
0.291739,0.018075,637.0,Saudi Arabia,SAU,SAU,20210209
0.301638,0.01614,812.0,Serbia,SRB,SRB,20210209
0.361463,0.032578,221.0,Singapore,SGP,SGP,20210209
0.347934,0.016424,842.0,Slovakia,SVK,SVK,20210209
0.455628,0.024573,406.0,Slovenia,SVN,SVN,20210209
0.285013,0.010902,1724.0,South Africa,ZAF,ZAF,20210209
0.346836,0.013792,1195.0,South Korea,KOR,KOR,20210209
0.481226,0.008082,3828.0,Spain,ESP,ESP,20210209
0.3238,0.030906,225.0,Sri Lanka,LKA,LKA,20210209
0.271334,0.026966,282.0,Sudan,SDN,SDN,20210209
0.492927,0.009848,2590.0,Sweden,SWE,SWE,20210209
0.521583,0.014123,1260.0,Switzerland,CHE,CHE,20210209
0.485037,0.007358,4625.0,Taiwan,TWN,TWN,20210209
0.212133,0.031213,179.0,Tanzania,TZA,TZA,20210209
0.479838,0.009035,3072.0,Thailand,THA,THA,20210209
0.289244,0.015508,867.0,Tunisia,TUN,TUN,20210209
0.281411,0.008349,2922.0,Turkey,TUR,TUR,20210209
0.196743,0.00659,3670.0,Ukraine,UKR,UKR,20210209
0.201316,0.021984,321.0,United Arab Emirates,ARE,ARE,20210209
0.447119,0.010594,2212.0,United Kingdom,GBR,GBR,20210209
0.287562,0.01414,1033.0,Uruguay,URY,URY,20210209
0.20001,0.027788,235.0,Uzbekistan,UZB,UZB,20210209
0.302309,0.012303,1400.0,Venezuela,VEN,VEN,20210209
0.478273,0.006585,5753.0,Vietnam,VNM,VNM,20210209
0.291141,0.038128,141.0,Yemen,YEM,YEM,20210209
0.279349,0.034051,210.0,Afghanistan,AFG,AFG,20210210
0.253241,0.029476,224.0,Albania,ALB,ALB,20210210
0.298644,0.013396,1160.0,Algeria,DZA,DZA,20210210
0.348409,0.040107,147.0,Angola,AGO,AGO,20210210
0.390483,0.006518,5606.0,Argentina,ARG,ARG,20210210
0.213121,0.040659,107.0,Armenia,ARM,ARM,20210210
0.379404,0.009898,2916.0,Australia,AUS,AUS,20210210
0.375281,0.013577,1277.0,Austria,AUT,AUT,20210210
0.273989,0.029538,237.0,Azerbaijan,AZE,AZE,20210210
0.352778,0.01491,1036.0,Bangladesh,BGD,BGD,20210210
0.157098,0.014063,702.0,Belarus,BLR,BLR,20210210
0.396378,0.012924,1435.0,Belgium,BEL,BEL,20210210
0.329543,0.012182,1503.0,Bolivia,BOL,BOL,20210210
0.281179,0.024569,353.0,Bosnia and Herzegovina,BIH,BIH,20210210
0.386664,0.004269,13048.0,Brazil,BRA,BRA,20210210
0.302256,0.012641,1337.0,Bulgaria,BGR,BGR,20210210
0.27839,0.031594,206.0,Cameroon,CMR,CMR,20210210
0.443273,0.007812,4056.0,Canada,CAN,CAN,20210210
0.327812,0.010143,2159.0,Chile,CHL,CHL,20210210
0.341212,0.006717,5003.0,Colombia,COL,COL,20210210
0.4045,0.021173,541.0,Costa Rica,CRI,CRI,20210210
0.280041,0.029481,245.0,C̫te d'Ivoire,CIV,CIV,20210210
0.364928,0.017572,751.0,Croatia,HRV,HRV,20210210
0.459775,0.010483,2265.0,Czech Republic,CZE,CZE,20210210
0.266763,0.041251,130.0,Democratic Republic of the Congo,COD,COD,20210210
0.46446,0.015994,969.0,Denmark,DNK,DNK,20210210
0.289483,0.016133,794.0,Dominican Republic,DOM,DOM,20210210
0.389115,0.010635,2133.0,Ecuador,ECU,ECU,20210210
0.256118,0.008723,2515.0,Egypt,EGY,EGY,20210210
0.321355,0.015487,924.0,El Salvador,SLV,SLV,20210210
0.261564,0.028324,248.0,Ethiopia,ETH,ETH,20210210
0.430202,0.024418,411.0,Finland,FIN,FIN,20210210
0.444969,0.004771,10856.0,France,FRA,FRA,20210210
0.410273,0.005419,8251.0,Germany,DEU,DEU,20210210
0.197628,0.014689,759.0,Ghana,GHA,GHA,20210210
0.353284,0.010878,1941.0,Greece,GRC,GRC,20210210
0.386492,0.017069,800.0,Guatemala,GTM,GTM,20210210
0.394839,0.047279,107.0,Haiti,HTI,HTI,20210210
0.348596,0.017357,766.0,Honduras,HND,HND,20210210
0.310553,0.019928,549.0,Hong Kong,HKG,HKG,20210210
0.264917,0.008259,2857.0,Hungary,HUN,HUN,20210210
0.398063,0.005911,6842.0,India,IND,IND,20210210
0.324573,0.0073,4131.0,Indonesia,IDN,IDN,20210210
0.259155,0.012472,1250.0,Iraq,IRQ,IRQ,20210210
0.399727,0.018963,654.0,Ireland,IRL,IRL,20210210
0.205934,0.016591,601.0,Israel,ISR,ISR,20210210
0.357752,0.00596,6474.0,Italy,ITA,ITA,20210210
0.297603,0.002902,24837.0,Japan,JPN,JPN,20210210
0.282538,0.016533,750.0,Jordan,JOR,JOR,20210210
0.190642,0.016761,549.0,Kazakhstan,KAZ,KAZ,20210210
0.222411,0.014776,795.0,Kenya,KEN,KEN,20210210
0.316524,0.033982,194.0,Kuwait,KWT,KWT,20210210
0.232412,0.030708,195.0,Kyrgyzstan,KGZ,KGZ,20210210
0.292483,0.019979,524.0,Lebanon,LBN,LBN,20210210
0.313156,0.022001,455.0,Libya,LBY,LBY,20210210
0.413135,0.011321,1899.0,Malaysia,MYS,MYS,20210210
0.280504,0.044415,105.0,Mali,MLI,MLI,20210210
0.419998,0.00436,12831.0,Mexico,MEX,MEX,20210210
0.25833,0.023961,331.0,Moldova,MDA,MDA,20210210
0.370102,0.022495,478.0,Morocco,MAR,MAR,20210210
0.386944,0.02603,355.0,Mozambique,MOZ,MOZ,20210210
0.483883,0.050296,102.0,Myanmar,MMR,MMR,20210210
0.398852,0.020796,578.0,Nepal,NPL,NPL,20210210
0.406309,0.010168,2342.0,Netherlands,NLD,NLD,20210210
0.462407,0.01452,1188.0,New Zealand,NZL,NZL,20210210
0.362697,0.023113,434.0,Nicaragua,NIC,NIC,20210210
0.202403,0.01081,1389.0,Nigeria,NGA,NGA,20210210
0.487667,0.013416,1384.0,Norway,NOR,NOR,20210210
0.334669,0.014378,1068.0,Pakistan,PAK,PAK,20210210
0.269348,0.028101,277.0,Palestine,PSE,PSE,20210210
