smoothed_sideeffects,smoothed_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.868822,0.019215,309.0,Mozambique,MOZ,MOZ,20210116
0.512739,0.016119,967.0,Myanmar,MMR,MMR,20210116
0.633594,0.017817,734.0,Nepal,NPL,NPL,20210116
0.307848,0.005733,6487.0,Netherlands,NLD,NLD,20210116
0.481848,0.011518,1895.0,New Zealand,NZL,NZL,20210116
0.701277,0.017002,723.0,Nicaragua,NIC,NIC,20210116
0.764764,0.009799,1875.0,Nigeria,NGA,NGA,20210116
0.260407,0.006917,4034.0,Norway,NOR,NOR,20210116
0.547208,0.046024,117.0,Oman,OMN,OMN,20210116
0.574852,0.012755,1504.0,Pakistan,PAK,PAK,20210116
0.611018,0.0256,384.0,Palestine,PSE,PSE,20210116
0.69567,0.016858,758.0,Panama,PAN,PAN,20210116
0.616038,0.018067,723.0,Paraguay,PRY,PRY,20210116
0.710546,0.007528,3632.0,Peru,PER,PER,20210116
0.834789,0.005346,4834.0,Philippines,PHL,PHL,20210116
0.498402,0.007201,4824.0,Poland,POL,POL,20210116
0.666034,0.006272,5684.0,Portugal,PRT,PRT,20210116
0.598513,0.012356,1571.0,"Puerto Rico, U.S.",PRI,PRI,20210116
0.55283,0.037736,177.0,Qatar,QAT,QAT,20210116
0.496022,0.00775,4172.0,Romania,ROU,ROU,20210116
0.707361,0.006962,4278.0,Russia,RUS,RUS,20210116
0.524556,0.016442,920.0,Saudi Arabia,SAU,SAU,20210116
0.704108,0.038633,139.0,Senegal,SEN,SEN,20210116
0.495802,0.012926,1498.0,Serbia,SRB,SRB,20210116
0.615685,0.021368,522.0,Singapore,SGP,SGP,20210116
0.275484,0.010128,1948.0,Slovakia,SVK,SVK,20210116
0.494999,0.01775,795.0,Slovenia,SVN,SVN,20210116
0.726093,0.007566,3475.0,South Africa,ZAF,ZAF,20210116
0.628976,0.010141,2275.0,South Korea,KOR,KOR,20210116
0.557245,0.004866,10428.0,Spain,ESP,ESP,20210116
0.719228,0.022519,402.0,Sri Lanka,LKA,LKA,20210116
0.609158,0.020313,573.0,Sudan,SDN,SDN,20210116
0.374968,0.004909,9751.0,Sweden,SWE,SWE,20210116
0.452627,0.010262,2351.0,Switzerland,CHE,CHE,20210116
0.585537,0.006427,5873.0,Taiwan,TWN,TWN,20210116
0.681166,0.042229,121.0,Tanzania,TZA,TZA,20210116
