pct_trust_doctors,trust_doctors_se,pct_trust_doctors_unw,trust_doctors_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.520635,0.026426,0.498607,0.026403,359.0,Bulgaria,BGR,BGR,20210207
0.577932,0.011019,0.569802,0.010992,2020.0,Canada,CAN,CAN,20210207
0.754093,0.014206,0.75162,0.014159,926.0,Chile,CHL,CHL,20210207
0.687558,0.010957,0.709133,0.011182,1719.0,Colombia,COL,COL,20210207
0.691451,0.026798,0.755814,0.028812,258.0,Costa Rica,CRI,CRI,20210207
0.381624,0.032145,0.428571,0.031555,238.0,Croatia,HRV,HRV,20210207
0.478531,0.018438,0.48913,0.018426,736.0,Czech Republic,CZE,CZE,20210207
0.557899,0.016229,0.540254,0.016173,944.0,Denmark,DNK,DNK,20210207
0.617709,0.034004,0.608696,0.033858,207.0,Dominican Republic,DOM,DOM,20210207
0.6844,0.018468,0.6928,0.018605,625.0,Ecuador,ECU,ECU,20210207
0.483474,0.01971,0.524106,0.019723,643.0,Egypt,EGY,EGY,20210207
0.718004,0.025126,0.740984,0.025808,305.0,El Salvador,SLV,SLV,20210207
0.631502,0.029318,0.637037,0.029412,270.0,Finland,FIN,FIN,20210207
0.506186,0.008402,0.496894,0.008402,3542.0,France,FRA,FRA,20210207
0.527561,0.008191,0.518001,0.008184,3722.0,Germany,DEU,DEU,20210207
0.663904,0.03478,0.654255,0.034543,188.0,Ghana,GHA,GHA,20210207
0.66883,0.017128,0.680593,0.017289,742.0,Greece,GRC,GRC,20210207
0.734557,0.028546,0.718876,0.02804,249.0,Guatemala,GTM,GTM,20210207
0.670048,0.027294,0.748031,0.029561,254.0,Honduras,HND,HND,20210207
0.539985,0.042197,0.55,0.042274,140.0,Hong Kong,HKG,HKG,20210207
0.540296,0.014023,0.595432,0.014239,1226.0,Hungary,HUN,HUN,20210207
0.591983,0.01014,0.638753,0.010375,2245.0,India,IND,IND,20210207
0.414524,0.014127,0.438866,0.014024,1235.0,Indonesia,IDN,IDN,20210207
0.521079,0.026986,0.514535,0.026973,344.0,Iraq,IRQ,IRQ,20210207
0.763972,0.019966,0.751064,0.019608,470.0,Ireland,IRL,IRL,20210207
0.515557,0.037062,0.502732,0.037045,183.0,Israel,ISR,ISR,20210207
0.754664,0.007124,0.758659,0.007163,3609.0,Italy,ITA,ITA,20210207
0.632351,0.005846,0.643964,0.005887,6710.0,Japan,JPN,JPN,20210207
0.437457,0.036795,0.52973,0.036571,185.0,Jordan,JOR,JOR,20210207
0.194413,0.039221,0.221239,0.037395,113.0,Kazakhstan,KAZ,KAZ,20210207
0.571949,0.030933,0.628571,0.031676,245.0,Kenya,KEN,KEN,20210207
0.587185,0.038069,0.589286,0.038098,168.0,Lebanon,LBN,LBN,20210207
0.521505,0.043518,0.496241,0.043479,133.0,Libya,LBY,LBY,20210207
0.645942,0.019569,0.635314,0.019443,606.0,Malaysia,MYS,MYS,20210207
0.804833,0.00463,0.820203,0.004779,6880.0,Mexico,MEX,MEX,20210207
0.535462,0.038823,0.536145,0.038827,166.0,Morocco,MAR,MAR,20210207
0.666208,0.038777,0.624204,0.037756,157.0,Nepal,NPL,NPL,20210207
0.485503,0.014633,0.469072,0.014655,1164.0,Netherlands,NLD,NLD,20210207
0.615783,0.021934,0.604418,0.021818,498.0,New Zealand,NZL,NZL,20210207
0.679698,0.038617,0.671141,0.038354,149.0,Nicaragua,NIC,NIC,20210207
0.589684,0.024375,0.623737,0.02475,396.0,Nigeria,NGA,NGA,20210207
0.545475,0.015929,0.546012,0.01593,978.0,Norway,NOR,NOR,20210207
0.669457,0.024816,0.654891,0.024555,368.0,Pakistan,PAK,PAK,20210207
0.755493,0.031568,0.780347,0.032772,173.0,Panama,PAN,PAN,20210207
0.643585,0.036662,0.632184,0.036413,174.0,Paraguay,PRY,PRY,20210207
0.710673,0.01302,0.730637,0.013308,1162.0,Peru,PER,PER,20210207
0.589931,0.014604,0.632447,0.014898,1091.0,Philippines,PHL,PHL,20210207
0.479164,0.015736,0.488119,0.015727,1010.0,Poland,POL,POL,20210207
0.714917,0.011957,0.720057,0.012023,1411.0,Portugal,PRT,PRT,20210207
0.731705,0.024722,0.715569,0.02428,334.0,"Puerto Rico, U.S.",PRI,PRI,20210207
0.531929,0.01914,0.535294,0.019149,680.0,Romania,ROU,ROU,20210207
0.309969,0.015742,0.352495,0.015239,922.0,Russia,RUS,RUS,20210207
0.607881,0.029611,0.594203,0.029441,276.0,Saudi Arabia,SAU,SAU,20210207
0.446577,0.031343,0.450593,0.031317,253.0,Serbia,SRB,SRB,20210207
0.647049,0.045546,0.654545,0.045773,110.0,Singapore,SGP,SGP,20210207
0.506134,0.02338,0.527352,0.023413,457.0,Slovakia,SVK,SVK,20210207
0.463774,0.04025,0.477419,0.040185,155.0,Slovenia,SVN,SVN,20210207
0.63285,0.018041,0.65,0.018232,700.0,South Africa,ZAF,ZAF,20210207
0.658578,0.0221,0.666667,0.02223,456.0,South Korea,KOR,KOR,20210207
0.784435,0.00817,0.787251,0.00821,2510.0,Spain,ESP,ESP,20210207
0.636275,0.044608,0.652174,0.045056,115.0,Sudan,SDN,SDN,20210207
0.597169,0.010219,0.610623,0.010278,2278.0,Sweden,SWE,SWE,20210207
0.481197,0.020906,0.497382,0.020891,573.0,Switzerland,CHE,CHE,20210207
