smoothed_trust_politicians,smoothed_trust_politicians_se,sample_size,country,iso_code,gid_0,survey_date
0.143158,0.002128,27100.0,Brazil,BRA,BRA,20201223
0.086472,0.010341,740.0,Bulgaria,BGR,BGR,20201223
0.25806,0.039691,123.0,Cambodia,KHM,KHM,20201223
0.154244,0.004748,5795.0,Canada,CAN,CAN,20201223
0.111857,0.006118,2660.0,Chile,CHL,CHL,20201223
0.141479,0.004542,5890.0,Colombia,COL,COL,20201223
0.194255,0.011506,1186.0,Costa Rica,CRI,CRI,20201223
0.208719,0.038004,113.0,C̫te d'Ivoire,CIV,CIV,20201223
0.060068,0.008557,783.0,Croatia,HRV,HRV,20201223
0.076285,0.00667,1581.0,Czech Republic,CZE,CZE,20201223
0.168935,0.007071,2810.0,Denmark,DNK,DNK,20201223
0.127047,0.012154,755.0,Dominican Republic,DOM,DOM,20201223
0.115152,0.006836,2179.0,Ecuador,ECU,ECU,20201223
0.228268,0.007152,3444.0,Egypt,EGY,EGY,20201223
0.115671,0.010598,920.0,El Salvador,SLV,SLV,20201223
0.216917,0.032103,167.0,Ethiopia,ETH,ETH,20201223
0.191684,0.014161,777.0,Finland,FIN,FIN,20201223
0.086386,0.003215,7692.0,France,FRA,FRA,20201223
0.105678,0.0031,9832.0,Germany,DEU,DEU,20201223
0.178685,0.02042,356.0,Ghana,GHA,GHA,20201223
0.12448,0.008973,1369.0,Greece,GRC,GRC,20201223
0.103578,0.010122,918.0,Guatemala,GTM,GTM,20201223
0.084504,0.011873,565.0,Honduras,HND,HND,20201223
0.172852,0.014897,655.0,Hong Kong,HKG,HKG,20201223
0.078751,0.005011,2864.0,Hungary,HUN,HUN,20201223
0.221778,0.004389,8964.0,India,IND,IND,20201223
0.169148,0.005549,4567.0,Indonesia,IDN,IDN,20201223
0.180261,0.0117,1088.0,Iraq,IRQ,IRQ,20201223
0.137485,0.009713,1263.0,Ireland,IRL,IRL,20201223
0.125402,0.008104,1755.0,Israel,ISR,ISR,20201223
0.102336,0.003264,8708.0,Italy,ITA,ITA,20201223
0.152313,0.002687,17876.0,Japan,JPN,JPN,20201223
0.172228,0.013766,760.0,Jordan,JOR,JOR,20201223
0.076976,0.015479,298.0,Kazakhstan,KAZ,KAZ,20201223
0.204687,0.013776,859.0,Kenya,KEN,KEN,20201223
0.240341,0.028546,216.0,Kuwait,KWT,KWT,20201223
0.115831,0.025451,118.0,Kyrgyzstan,KGZ,KGZ,20201223
0.094321,0.015498,352.0,Lebanon,LBN,LBN,20201223
0.27136,0.0222,403.0,Libya,LBY,LBY,20201223
0.283928,0.010846,1738.0,Malaysia,MYS,MYS,20201223
0.151697,0.002465,21174.0,Mexico,MEX,MEX,20201223
0.073582,0.016716,243.0,Moldova,MDA,MDA,20201223
0.191751,0.017114,517.0,Morocco,MAR,MAR,20201223
0.45229,0.01894,693.0,Myanmar,MMR,MMR,20201223
0.200731,0.016604,580.0,Nepal,NPL,NPL,20201223
0.108291,0.005136,3696.0,Netherlands,NLD,NLD,20201223
0.156682,0.010563,1192.0,New Zealand,NZL,NZL,20201223
0.121369,0.014603,504.0,Nicaragua,NIC,NIC,20201223
0.198166,0.011724,1155.0,Nigeria,NGA,NGA,20201223
0.178219,0.008226,2170.0,Norway,NOR,NOR,20201223
0.227976,0.040995,106.0,Oman,OMN,OMN,20201223
0.205108,0.009953,1649.0,Pakistan,PAK,PAK,20201223
0.188618,0.022376,324.0,Palestine,PSE,PSE,20201223
0.114422,0.013195,594.0,Panama,PAN,PAN,20201223
0.104144,0.014198,485.0,Paraguay,PRY,PRY,20201223
0.124649,0.007545,1935.0,Peru,PER,PER,20201223
0.190685,0.007407,2817.0,Philippines,PHL,PHL,20201223
0.13346,0.006634,2643.0,Poland,POL,POL,20201223
0.23309,0.008722,2407.0,Portugal,PRT,PRT,20201223
0.242591,0.012634,1176.0,"Puerto Rico, U.S.",PRI,PRI,20201223
0.209862,0.034036,180.0,Qatar,QAT,QAT,20201223
0.066406,0.005356,2161.0,Romania,ROU,ROU,20201223
0.070236,0.00494,2699.0,Russia,RUS,RUS,20201223
0.241752,0.01438,889.0,Saudi Arabia,SAU,SAU,20201223
0.067763,0.008735,851.0,Serbia,SRB,SRB,20201223
0.243062,0.020925,423.0,Singapore,SGP,SGP,20201223
0.134049,0.010328,1084.0,Slovakia,SVK,SVK,20201223
0.0848,0.013885,395.0,Slovenia,SVN,SVN,20201223
0.16768,0.00712,2755.0,South Africa,ZAF,ZAF,20201223
0.223635,0.009541,1909.0,South Korea,KOR,KOR,20201223
0.099416,0.003972,5677.0,Spain,ESP,ESP,20201223
0.17849,0.021555,317.0,Sri Lanka,LKA,LKA,20201223
0.229366,0.020275,428.0,Sudan,SDN,SDN,20201223
0.178035,0.004801,6371.0,Sweden,SWE,SWE,20201223
0.08542,0.007146,1526.0,Switzerland,CHE,CHE,20201223
0.137517,0.005344,4171.0,Taiwan,TWN,TWN,20201223
0.22953,0.004599,8360.0,Thailand,THA,THA,20201223
0.200581,0.016204,603.0,Tunisia,TUN,TUN,20201223
0.093022,0.004424,4335.0,Turkey,TUR,TUR,20201223
0.07835,0.004644,3331.0,Ukraine,UKR,UKR,20201223
0.216452,0.015976,663.0,United Arab Emirates,ARE,ARE,20201223
0.162042,0.004795,5917.0,United Kingdom,GBR,GBR,20201223
