smoothed_hesitant_sideeffects,smoothed_hesitant_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.315925,0.013658,1165.0,Dominican Republic,DOM,DOM,20210116
0.297383,0.008686,2776.0,Ecuador,ECU,ECU,20210116
0.301509,0.007666,3583.0,Egypt,EGY,EGY,20210116
0.185363,0.01079,1313.0,El Salvador,SLV,SLV,20210116
0.168007,0.023711,252.0,Ethiopia,ETH,ETH,20210116
0.087915,0.008662,1107.0,Finland,FIN,FIN,20210116
0.272637,0.00374,14173.0,France,FRA,FRA,20210116
0.206573,0.003239,15635.0,Germany,DEU,DEU,20210116
0.353091,0.021629,492.0,Ghana,GHA,GHA,20210116
0.18322,0.008211,2240.0,Greece,GRC,GRC,20210116
0.171788,0.010998,1177.0,Guatemala,GTM,GTM,20210116
0.465233,0.047139,115.0,Haiti,HTI,HTI,20210116
0.16603,0.011578,1038.0,Honduras,HND,HND,20210116
0.30024,0.018789,601.0,Hong Kong,HKG,HKG,20210116
0.197935,0.005624,5059.0,Hungary,HUN,HUN,20210116
0.16975,0.004365,7401.0,India,IND,IND,20210116
0.172919,0.004753,6335.0,Indonesia,IDN,IDN,20210116
0.273596,0.011756,1443.0,Iraq,IRQ,IRQ,20210116
0.112542,0.006208,2599.0,Ireland,IRL,IRL,20210116
0.27966,0.01335,1143.0,Israel,ISR,ISR,20210116
0.101548,0.002478,14872.0,Italy,ITA,ITA,20210116
0.258206,0.002556,29336.0,Japan,JPN,JPN,20210116
0.404449,0.016003,945.0,Jordan,JOR,JOR,20210116
0.518105,0.02378,438.0,Kazakhstan,KAZ,KAZ,20210116
0.223234,0.012609,1095.0,Kenya,KEN,KEN,20210116
0.193072,0.028467,197.0,Kuwait,KWT,KWT,20210116
0.42405,0.037218,187.0,Kyrgyzstan,KGZ,KGZ,20210116
0.294746,0.01642,835.0,Lebanon,LBN,LBN,20210116
0.235427,0.016469,664.0,Libya,LBY,LBY,20210116
0.220531,0.007143,3393.0,Malaysia,MYS,MYS,20210116
0.228396,0.036313,136.0,Mali,MLI,MLI,20210116
0.107305,0.001833,28535.0,Mexico,MEX,MEX,20210116
0.338809,0.025735,340.0,Moldova,MDA,MDA,20210116
0.26841,0.01738,648.0,Morocco,MAR,MAR,20210116
0.220105,0.023739,308.0,Mozambique,MOZ,MOZ,20210116
0.082199,0.008906,961.0,Myanmar,MMR,MMR,20210116
0.13082,0.012557,723.0,Nepal,NPL,NPL,20210116
0.136115,0.004285,6412.0,Netherlands,NLD,NLD,20210116
0.192304,0.009101,1884.0,New Zealand,NZL,NZL,20210116
0.178348,0.01432,717.0,Nicaragua,NIC,NIC,20210116
0.267848,0.010256,1874.0,Nigeria,NGA,NGA,20210116
0.105446,0.004822,4033.0,Norway,NOR,NOR,20210116
0.138495,0.032456,117.0,Oman,OMN,OMN,20210116
0.178337,0.009884,1503.0,Pakistan,PAK,PAK,20210116
0.323182,0.024453,383.0,Palestine,PSE,PSE,20210116
0.194198,0.014438,754.0,Panama,PAN,PAN,20210116
0.272584,0.016565,720.0,Paraguay,PRY,PRY,20210116
0.216398,0.006848,3612.0,Peru,PER,PER,20210116
0.315935,0.006694,4824.0,Philippines,PHL,PHL,20210116
0.233362,0.006274,4552.0,Poland,POL,POL,20210116
0.140776,0.00466,5566.0,Portugal,PRT,PRT,20210116
0.124747,0.008354,1571.0,"Puerto Rico, U.S.",PRI,PRI,20210116
0.151873,0.028026,165.0,Qatar,QAT,QAT,20210116
0.19584,0.006362,3895.0,Romania,ROU,ROU,20210116
0.46948,0.007817,4082.0,Russia,RUS,RUS,20210116
0.206385,0.014269,805.0,Saudi Arabia,SAU,SAU,20210116
0.423975,0.04259,139.0,Senegal,SEN,SEN,20210116
0.286534,0.011696,1492.0,Serbia,SRB,SRB,20210116
0.188136,0.017189,521.0,Singapore,SGP,SGP,20210116
0.166337,0.008625,1866.0,Slovakia,SVK,SVK,20210116
0.257961,0.015882,760.0,Slovenia,SVN,SVN,20210116
0.334246,0.008016,3468.0,South Africa,ZAF,ZAF,20210116
0.203084,0.008446,2274.0,South Korea,KOR,KOR,20210116
0.114675,0.003177,10064.0,Spain,ESP,ESP,20210116
0.147293,0.017784,400.0,Sri Lanka,LKA,LKA,20210116
0.268587,0.018606,571.0,Sudan,SDN,SDN,20210116
0.109695,0.003197,9579.0,Sweden,SWE,SWE,20210116
0.271229,0.00925,2303.0,Switzerland,CHE,CHE,20210116
0.269381,0.005805,5852.0,Taiwan,TWN,TWN,20210116
0.209133,0.03739,121.0,Tanzania,TZA,TZA,20210116
