smoothed_vu,smoothed_vu_se,sample_size_vu,country,iso_code,gid_0,survey_date
0.739772,0.031175,195.0,Mozambique,MOZ,MOZ,20201224
0.870183,0.009244,1320.0,Myanmar,MMR,MMR,20201224
0.764478,0.012643,1144.0,Nepal,NPL,NPL,20201224
0.776005,0.004999,7039.0,Netherlands,NLD,NLD,20201224
0.74308,0.010071,1889.0,New Zealand,NZL,NZL,20201224
0.800163,0.013156,922.0,Nicaragua,NIC,NIC,20201224
0.671864,0.009839,2272.0,Nigeria,NGA,NGA,20201224
0.791205,0.006316,4148.0,Norway,NOR,NOR,20201224
0.646265,0.03504,189.0,Oman,OMN,OMN,20201224
0.651025,0.00839,3231.0,Pakistan,PAK,PAK,20201224
0.389763,0.019615,644.0,Palestine,PSE,PSE,20201224
0.743463,0.013445,1064.0,Panama,PAN,PAN,20201224
0.660115,0.015359,955.0,Paraguay,PRY,PRY,20201224
0.67677,0.007889,3534.0,Peru,PER,PER,20201224
0.599299,0.006956,4968.0,Philippines,PHL,PHL,20201224
0.59107,0.006838,5163.0,Poland,POL,POL,20201224
0.761154,0.006604,4497.0,Portugal,PRT,PRT,20201224
0.834591,0.007899,2248.0,"Puerto Rico, U.S.",PRI,PRI,20201224
0.67081,0.026787,343.0,Qatar,QAT,QAT,20201224
0.637193,0.00718,4489.0,Romania,ROU,ROU,20201224
0.442327,0.006908,5184.0,Russia,RUS,RUS,20201224
0.648895,0.011736,1664.0,Saudi Arabia,SAU,SAU,20201224
0.423463,0.048542,106.0,Senegal,SEN,SEN,20201224
0.516215,0.012467,1637.0,Serbia,SRB,SRB,20201224
0.761294,0.015848,730.0,Singapore,SGP,SGP,20201224
0.615228,0.010377,2203.0,Slovakia,SVK,SVK,20201224
0.637999,0.01699,804.0,Slovenia,SVN,SVN,20201224
0.615264,0.006905,5012.0,South Africa,ZAF,ZAF,20201224
0.749269,0.007773,3109.0,South Korea,KOR,KOR,20201224
0.768621,0.004126,10460.0,Spain,ESP,ESP,20201224
0.741806,0.017896,601.0,Sri Lanka,LKA,LKA,20201224
0.642295,0.015845,923.0,Sudan,SDN,SDN,20201224
0.809091,0.00365,12007.0,Sweden,SWE,SWE,20201224
0.613882,0.009144,2831.0,Switzerland,CHE,CHE,20201224
0.640374,0.005647,7222.0,Taiwan,TWN,TWN,20201224
0.568081,0.039371,161.0,Tanzania,TZA,TZA,20201224
0.843226,0.002993,14764.0,Thailand,THA,THA,20201224
0.400588,0.013682,1272.0,Tunisia,TUN,TUN,20201224
0.561945,0.005232,9000.0,Turkey,TUR,TUR,20201224
0.521968,0.006086,6746.0,Ukraine,UKR,UKR,20201224
0.659525,0.013265,1284.0,United Arab Emirates,ARE,ARE,20201224
0.849615,0.003399,11059.0,United Kingdom,GBR,GBR,20201224
0.635918,0.009115,2933.0,Uruguay,URY,URY,20201224
0.501625,0.026814,347.0,Uzbekistan,UZB,UZB,20201224
0.710213,0.00818,3091.0,Venezuela,VEN,VEN,20201224
0.831474,0.004893,5880.0,Vietnam,VNM,VNM,20201224
0.445726,0.025106,396.0,Yemen,YEM,YEM,20201224
0.705867,0.019226,569.0,Afghanistan,AFG,AFG,20201225
0.601745,0.02508,385.0,Albania,ALB,ALB,20201225
0.35754,0.010902,1943.0,Algeria,DZA,DZA,20201225
0.703439,0.027475,271.0,Angola,AGO,AGO,20201225
0.690704,0.00434,11401.0,Argentina,ARG,ARG,20201225
0.397316,0.035921,188.0,Armenia,ARM,ARM,20201225
0.773886,0.004854,7442.0,Australia,AUS,AUS,20201225
0.615785,0.008372,3379.0,Austria,AUT,AUT,20201225
0.39304,0.021045,563.0,Azerbaijan,AZE,AZE,20201225
0.788995,0.007882,2687.0,Bangladesh,BGD,BGD,20201225
0.520117,0.014078,1279.0,Belarus,BLR,BLR,20201225
0.690021,0.007866,3575.0,Belgium,BEL,BEL,20201225
0.711928,0.008392,2914.0,Bolivia,BOL,BOL,20201225
0.558275,0.020061,636.0,Bosnia and Herzegovina,BIH,BIH,20201225
0.756121,0.001768,59041.0,Brazil,BRA,BRA,20201225
0.445406,0.011423,1907.0,Bulgaria,BGR,BGR,20201225
0.528277,0.035523,198.0,Burkina Faso,BFA,BFA,20201225
0.676602,0.027243,299.0,Cambodia,KHM,KHM,20201225
0.422206,0.030813,259.0,Cameroon,CMR,CMR,20201225
