smoothed_covid_vaccine,smoothed_covid_vaccine_se,sample_size,country,iso_code,gid_0,survey_date
0.027501,0.001691,9357.0,India,IND,IND,20210107
0.012608,0.001402,6328.0,Indonesia,IDN,IDN,20210107
0.009372,0.002204,1917.0,Ireland,IRL,IRL,20210107
0.411436,0.009993,2450.0,Israel,ISR,ISR,20210107
0.025601,0.001442,12113.0,Italy,ITA,ITA,20210107
0.004266,0.000433,22693.0,Japan,JPN,JPN,20210107
0.019263,0.006998,387.0,Kazakhstan,KAZ,KAZ,20210107
0.020583,0.010733,191.0,Kuwait,KWT,KWT,20210107
0.004259,0.002547,671.0,Lebanon,LBN,LBN,20210107
0.007462,0.000567,23062.0,Mexico,MEX,MEX,20210107
0.012092,0.004535,571.0,Morocco,MAR,MAR,20210107
0.019476,0.005333,675.0,Nepal,NPL,NPL,20210107
0.012688,0.001687,4373.0,Netherlands,NLD,NLD,20210107
0.005592,0.001915,1507.0,New Zealand,NZL,NZL,20210107
0.007834,0.003459,692.0,Nicaragua,NIC,NIC,20210107
0.014097,0.0042,789.0,Panama,PAN,PAN,20210107
0.011262,0.004309,618.0,Paraguay,PRY,PRY,20210107
0.011851,0.001991,2991.0,Peru,PER,PER,20210107
0.030247,0.002722,3961.0,Poland,POL,POL,20210107
0.015349,0.002112,3534.0,Portugal,PRT,PRT,20210107
0.039469,0.014999,171.0,Qatar,QAT,QAT,20210107
0.031502,0.003162,3061.0,Romania,ROU,ROU,20210107
0.024319,0.002569,3610.0,Russia,RUS,RUS,20210107
0.05838,0.008304,801.0,Saudi Arabia,SAU,SAU,20210107
0.016864,0.003178,1656.0,Slovakia,SVK,SVK,20210107
0.030054,0.007768,521.0,Slovenia,SVN,SVN,20210107
0.009477,0.001144,7134.0,Spain,ESP,ESP,20210107
0.003356,0.000655,7783.0,Sweden,SWE,SWE,20210107
0.009677,0.00229,1832.0,Switzerland,CHE,CHE,20210107
0.008221,0.001346,4528.0,Taiwan,TWN,TWN,20210107
0.004949,0.00108,4231.0,Turkey,TUR,TUR,20210107
0.029435,0.001953,7504.0,United Kingdom,GBR,GBR,20210107
0.001409,0.000864,1849.0,Uruguay,URY,URY,20210107
0.036033,0.012184,235.0,Uzbekistan,UZB,UZB,20210107
0.010338,0.002216,2166.0,Venezuela,VEN,VEN,20210107
0.012406,0.001038,11329.0,Argentina,ARG,ARG,20210108
0.005552,0.000908,6779.0,Australia,AUS,AUS,20210108
0.006487,0.001553,2768.0,Austria,AUT,AUT,20210108
0.048928,0.005396,1600.0,Bangladesh,BGD,BGD,20210108
0.006534,0.001627,2553.0,Belgium,BEL,BEL,20210108
0.00558,0.001396,2802.0,Bolivia,BOL,BOL,20210108
0.004347,0.000302,47759.0,Brazil,BRA,BRA,20210108
0.014807,0.003328,1360.0,Bulgaria,BGR,BGR,20210108
0.015391,0.001286,9280.0,Canada,CAN,CAN,20210108
0.008035,0.001303,4626.0,Chile,CHL,CHL,20210108
0.00815,0.000846,11293.0,Colombia,COL,COL,20210108
0.012211,0.002614,1809.0,Costa Rica,CRI,CRI,20210108
0.026433,0.004421,1379.0,Croatia,HRV,HRV,20210108
0.071377,0.004065,4027.0,Czech Republic,CZE,CZE,20210108
0.01648,0.001854,5514.0,Denmark,DNK,DNK,20210108
0.009885,0.002485,1577.0,Dominican Republic,DOM,DOM,20210108
0.005545,0.001221,3623.0,Ecuador,ECU,ECU,20210108
0.019693,0.001985,4934.0,Egypt,EGY,EGY,20210108
0.005092,0.001854,1700.0,El Salvador,SLV,SLV,20210108
0.013348,0.003218,1381.0,Finland,FIN,FIN,20210108
0.005852,0.000615,15336.0,France,FRA,FRA,20210108
