smoothed_twodoses,smoothed_twodoses_se,sample_size,country,iso_code,gid_0,survey_date
0.033977,0.008011,500.0,Hungary,HUN,HUN,20210121
0.136433,0.014604,551.0,India,IND,IND,20210121
0.067643,0.014764,293.0,Indonesia,IDN,IDN,20210121
0.051515,0.014394,241.0,Ireland,IRL,IRL,20210121
0.337796,0.006588,5059.0,Israel,ISR,ISR,20210121
0.032844,0.003513,2514.0,Italy,ITA,ITA,20210121
0.098529,0.026109,149.0,Japan,JPN,JPN,20210121
0.055668,0.006293,1322.0,Mexico,MEX,MEX,20210121
0.013853,0.007767,233.0,Netherlands,NLD,NLD,20210121
0.046814,0.008369,612.0,Poland,POL,POL,20210121
0.118943,0.01626,361.0,Portugal,PRT,PRT,20210121
0.034817,0.006184,879.0,Romania,ROU,ROU,20210121
0.346272,0.019664,588.0,Russia,RUS,RUS,20210121
0.301642,0.025183,268.0,Saudi Arabia,SAU,SAU,20210121
0.006186,0.005906,176.0,Slovakia,SVK,SVK,20210121
0.027792,0.005449,905.0,Spain,ESP,ESP,20210121
0.035988,0.008821,452.0,Sweden,SWE,SWE,20210121
0.064688,0.02031,154.0,Switzerland,CHE,CHE,20210121
0.022634,0.006515,541.0,Turkey,TUR,TUR,20210121
0.085791,0.006479,1875.0,United Kingdom,GBR,GBR,20210121
0.13269,0.015937,451.0,Argentina,ARG,ARG,20210122
0.033023,0.012738,218.0,Austria,AUT,AUT,20210122
0.125352,0.030521,110.0,Bangladesh,BGD,BGD,20210122
0.069373,0.023229,110.0,Belgium,BEL,BEL,20210122
0.079814,0.010756,597.0,Brazil,BRA,BRA,20210122
0.080955,0.011486,577.0,Canada,CAN,CAN,20210122
0.085115,0.026412,118.0,Croatia,HRV,HRV,20210122
0.153814,0.01851,365.0,Czech Republic,CZE,CZE,20210122
0.042127,0.00982,369.0,Denmark,DNK,DNK,20210122
0.048912,0.007058,892.0,France,FRA,FRA,20210122
0.10662,0.008387,1308.0,Germany,DEU,DEU,20210122
0.025393,0.01181,194.0,Greece,GRC,GRC,20210122
0.036942,0.008364,499.0,Hungary,HUN,HUN,20210122
0.129291,0.013809,609.0,India,IND,IND,20210122
0.067265,0.014682,307.0,Indonesia,IDN,IDN,20210122
0.053201,0.014553,245.0,Ireland,IRL,IRL,20210122
0.366709,0.006637,5074.0,Israel,ISR,ISR,20210122
0.042865,0.00396,2527.0,Italy,ITA,ITA,20210122
0.114427,0.028337,147.0,Japan,JPN,JPN,20210122
0.050896,0.005899,1392.0,Mexico,MEX,MEX,20210122
0.015169,0.007842,251.0,Netherlands,NLD,NLD,20210122
0.054721,0.00902,612.0,Poland,POL,POL,20210122
0.139117,0.016467,399.0,Portugal,PRT,PRT,20210122
0.039835,0.006342,945.0,Romania,ROU,ROU,20210122
0.374094,0.019391,629.0,Russia,RUS,RUS,20210122
0.377472,0.026471,281.0,Saudi Arabia,SAU,SAU,20210122
0.00633,0.006043,172.0,Slovakia,SVK,SVK,20210122
0.028563,0.005403,926.0,Spain,ESP,ESP,20210122
0.034463,0.008223,498.0,Sweden,SWE,SWE,20210122
0.078074,0.021197,167.0,Switzerland,CHE,CHE,20210122
0.023383,0.006433,570.0,Turkey,TUR,TUR,20210122
0.079464,0.006093,1972.0,United Kingdom,GBR,GBR,20210122
0.176834,0.017762,455.0,Argentina,ARG,ARG,20210123
0.037266,0.012902,236.0,Austria,AUT,AUT,20210123
0.052856,0.020006,130.0,Belgium,BEL,BEL,20210123
0.05314,0.007654,808.0,Brazil,BRA,BRA,20210123
0.100362,0.012654,580.0,Canada,CAN,CAN,20210123
0.216329,0.039706,104.0,Chile,CHL,CHL,20210123
0.129215,0.031621,123.0,Croatia,HRV,HRV,20210123
0.156401,0.018832,358.0,Czech Republic,CZE,CZE,20210123
0.055082,0.011241,389.0,Denmark,DNK,DNK,20210123
0.03948,0.005931,981.0,France,FRA,FRA,20210123
0.141504,0.009371,1324.0,Germany,DEU,DEU,20210123
0.018285,0.009401,208.0,Greece,GRC,GRC,20210123
0.05676,0.010165,503.0,Hungary,HUN,HUN,20210123
0.121014,0.013214,676.0,India,IND,IND,20210123
0.083393,0.016018,305.0,Indonesia,IDN,IDN,20210123
0.055792,0.014478,260.0,Ireland,IRL,IRL,20210123
0.413917,0.006822,5096.0,Israel,ISR,ISR,20210123
0.062566,0.004756,2503.0,Italy,ITA,ITA,20210123
0.14209,0.029217,157.0,Japan,JPN,JPN,20210123
0.057393,0.006228,1433.0,Mexico,MEX,MEX,20210123
0.018773,0.008289,282.0,Netherlands,NLD,NLD,20210123
0.075455,0.010684,603.0,Poland,POL,POL,20210123
0.178396,0.017759,444.0,Portugal,PRT,PRT,20210123
0.046433,0.006575,1019.0,Romania,ROU,ROU,20210123
0.355367,0.018619,660.0,Russia,RUS,RUS,20210123
0.4468,0.02919,263.0,Saudi Arabia,SAU,SAU,20210123
0.005238,0.005468,170.0,Slovakia,SVK,SVK,20210123
0.0396,0.006092,993.0,Spain,ESP,ESP,20210123
0.039802,0.008442,546.0,Sweden,SWE,SWE,20210123
0.070017,0.018942,187.0,Switzerland,CHE,CHE,20210123
0.030106,0.007267,562.0,Turkey,TUR,TUR,20210123
0.080578,0.006043,2030.0,United Kingdom,GBR,GBR,20210123
0.185734,0.018193,451.0,Argentina,ARG,ARG,20210124
0.042767,0.013827,235.0,Austria,AUT,AUT,20210124
0.065674,0.021865,137.0,Belgium,BEL,BEL,20210124
0.043656,0.006316,1020.0,Brazil,BRA,BRA,20210124
0.102819,0.012616,597.0,Canada,CAN,CAN,20210124
0.186154,0.037339,115.0,Chile,CHL,CHL,20210124
0.145045,0.033364,123.0,Croatia,HRV,HRV,20210124
0.165094,0.019629,347.0,Czech Republic,CZE,CZE,20210124
0.082975,0.014261,385.0,Denmark,DNK,DNK,20210124
0.038151,0.005727,1017.0,France,FRA,FRA,20210124
0.162623,0.009717,1392.0,Germany,DEU,DEU,20210124
0.031515,0.011719,218.0,Greece,GRC,GRC,20210124
0.07455,0.011563,497.0,Hungary,HUN,HUN,20210124
0.121941,0.01288,737.0,India,IND,IND,20210124
0.090601,0.015853,330.0,Indonesia,IDN,IDN,20210124
0.045297,0.012844,271.0,Ireland,IRL,IRL,20210124
0.452659,0.006909,5114.0,Israel,ISR,ISR,20210124
0.080951,0.005336,2479.0,Italy,ITA,ITA,20210124
0.154165,0.030425,153.0,Japan,JPN,JPN,20210124
0.05843,0.006217,1464.0,Mexico,MEX,MEX,20210124
0.028769,0.009743,293.0,Netherlands,NLD,NLD,20210124
0.094744,0.01164,625.0,Poland,POL,POL,20210124
0.197113,0.018008,483.0,Portugal,PRT,PRT,20210124
0.043406,0.006101,1109.0,Romania,ROU,ROU,20210124
0.35919,0.018475,685.0,Russia,RUS,RUS,20210124
0.526817,0.029845,265.0,Saudi Arabia,SAU,SAU,20210124
0.015048,0.009028,189.0,Slovakia,SVK,SVK,20210124
0.052629,0.006966,1010.0,Spain,ESP,ESP,20210124
0.046199,0.008847,573.0,Sweden,SWE,SWE,20210124
0.074393,0.018656,204.0,Switzerland,CHE,CHE,20210124
0.030185,0.007403,539.0,Turkey,TUR,TUR,20210124
0.075265,0.005727,2111.0,United Kingdom,GBR,GBR,20210124
0.227824,0.019718,450.0,Argentina,ARG,ARG,20210125
0.04814,0.014588,238.0,Austria,AUT,AUT,20210125
0.057766,0.020475,139.0,Belgium,BEL,BEL,20210125
0.038559,0.005371,1250.0,Brazil,BRA,BRA,20210125
0.1045,0.012912,576.0,Canada,CAN,CAN,20210125
0.180495,0.035989,120.0,Chile,CHL,CHL,20210125
0.171005,0.036682,117.0,Croatia,HRV,HRV,20210125
0.158109,0.019085,354.0,Czech Republic,CZE,CZE,20210125
0.113401,0.016635,369.0,Denmark,DNK,DNK,20210125
0.136305,0.032852,111.0,Finland,FIN,FIN,20210125
0.036535,0.00536,1109.0,France,FRA,FRA,20210125
0.179409,0.010147,1404.0,Germany,DEU,DEU,20210125
0.054193,0.015661,225.0,Greece,GRC,GRC,20210125
0.107252,0.013125,531.0,Hungary,HUN,HUN,20210125
0.108911,0.011611,821.0,India,IND,IND,20210125
0.09744,0.016405,336.0,Indonesia,IDN,IDN,20210125
0.044069,0.012742,268.0,Ireland,IRL,IRL,20210125
0.48675,0.006934,5140.0,Israel,ISR,ISR,20210125
0.11361,0.006252,2461.0,Italy,ITA,ITA,20210125
0.196808,0.033131,155.0,Japan,JPN,JPN,20210125
0.061001,0.006277,1498.0,Mexico,MEX,MEX,20210125
0.032549,0.01038,300.0,Netherlands,NLD,NLD,20210125
0.111508,0.012406,644.0,Poland,POL,POL,20210125
0.224138,0.019014,495.0,Portugal,PRT,PRT,20210125
0.0478,0.006258,1159.0,Romania,ROU,ROU,20210125
0.339963,0.017726,713.0,Russia,RUS,RUS,20210125
0.58087,0.029746,265.0,Saudi Arabia,SAU,SAU,20210125
0.017036,0.009387,198.0,Slovakia,SVK,SVK,20210125
0.066762,0.00773,1035.0,Spain,ESP,ESP,20210125
0.037731,0.007776,620.0,Sweden,SWE,SWE,20210125
0.068224,0.017316,218.0,Switzerland,CHE,CHE,20210125
0.030667,0.00757,524.0,Turkey,TUR,TUR,20210125
0.077992,0.005676,2194.0,United Kingdom,GBR,GBR,20210125
0.23555,0.019565,466.0,Argentina,ARG,ARG,20210126
0.046735,0.013707,256.0,Austria,AUT,AUT,20210126
0.050876,0.018764,145.0,Belgium,BEL,BEL,20210126
