smoothed_pct_hes_cost,smoothed_hes_cost_se,sample_size,country,iso_code,gid_0,survey_date
0.056854,0.017146,185.0,Libya,LBY,LBY,20210207
0.214096,0.014742,776.0,Malaysia,MYS,MYS,20210207
0.146122,0.005,4988.0,Mexico,MEX,MEX,20210207
0.093227,0.025948,122.0,Moldova,MDA,MDA,20210207
0.011154,0.008029,192.0,Morocco,MAR,MAR,20210207
0.096453,0.02627,129.0,Mozambique,MOZ,MOZ,20210207
0.089228,0.019543,221.0,Nepal,NPL,NPL,20210207
0.021734,0.004978,866.0,Netherlands,NLD,NLD,20210207
0.057005,0.010515,488.0,New Zealand,NZL,NZL,20210207
0.283815,0.035644,159.0,Nicaragua,NIC,NIC,20210207
0.123423,0.013878,566.0,Nigeria,NGA,NGA,20210207
0.020026,0.006085,534.0,Norway,NOR,NOR,20210207
0.144451,0.01662,433.0,Pakistan,PAK,PAK,20210207
0.149206,0.034189,108.0,Palestine,PSE,PSE,20210207
0.036346,0.01424,175.0,Panama,PAN,PAN,20210207
0.125067,0.02088,249.0,Paraguay,PRY,PRY,20210207
0.154075,0.009835,1349.0,Peru,PER,PER,20210207
0.223339,0.01043,1596.0,Philippines,PHL,PHL,20210207
0.059743,0.007117,1110.0,Poland,POL,POL,20210207
0.025993,0.00456,1222.0,Portugal,PRT,PRT,20210207
0.04212,0.012815,260.0,"Puerto Rico, U.S.",PRI,PRI,20210207
0.026421,0.005623,816.0,Romania,ROU,ROU,20210207
0.033819,0.004455,1649.0,Russia,RUS,RUS,20210207
0.06648,0.013711,329.0,Saudi Arabia,SAU,SAU,20210207
0.038014,0.009427,414.0,Serbia,SRB,SRB,20210207
0.068457,0.025357,104.0,Singapore,SGP,SGP,20210207
0.011393,0.00506,434.0,Slovakia,SVK,SVK,20210207
0.034029,0.01323,190.0,Slovenia,SVN,SVN,20210207
0.138728,0.012104,816.0,South Africa,ZAF,ZAF,20210207
0.091537,0.011267,637.0,South Korea,KOR,KOR,20210207
0.029664,0.003788,1998.0,Spain,ESP,ESP,20210207
0.080291,0.025685,114.0,Sri Lanka,LKA,LKA,20210207
0.114626,0.02661,152.0,Sudan,SDN,SDN,20210207
0.022251,0.004052,1327.0,Sweden,SWE,SWE,20210207
