smoothed_pct_hes_wontwork,smoothed_hes_wontwork_se,sample_size,country,iso_code,gid_0,survey_date
0.298668,0.01252,1340.0,Chile,CHL,CHL,20210208
0.349411,0.008723,2995.0,Colombia,COL,COL,20210208
0.290676,0.02613,305.0,Costa Rica,CRI,CRI,20210208
0.328871,0.040096,143.0,C̫te d'Ivoire,CIV,CIV,20210208
0.27432,0.020779,447.0,Croatia,HRV,HRV,20210208
0.353607,0.012947,1366.0,Czech Republic,CZE,CZE,20210208
0.226126,0.017244,592.0,Denmark,DNK,DNK,20210208
0.335385,0.021819,465.0,Dominican Republic,DOM,DOM,20210208
0.362172,0.013801,1217.0,Ecuador,ECU,ECU,20210208
0.373179,0.012402,1515.0,Egypt,EGY,EGY,20210208
0.298399,0.019528,554.0,El Salvador,SLV,SLV,20210208
0.251439,0.034589,148.0,Ethiopia,ETH,ETH,20210208
0.280209,0.028523,249.0,Finland,FIN,FIN,20210208
0.374936,0.005945,6632.0,France,FRA,FRA,20210208
0.264417,0.006218,5042.0,Germany,DEU,DEU,20210208
0.316645,0.02185,460.0,Ghana,GHA,GHA,20210208
0.305453,0.013356,1196.0,Greece,GRC,GRC,20210208
0.324425,0.02227,451.0,Guatemala,GTM,GTM,20210208
0.331456,0.022289,456.0,Honduras,HND,HND,20210208
0.39175,0.027528,325.0,Hong Kong,HKG,HKG,20210208
0.300907,0.011067,1719.0,Hungary,HUN,HUN,20210208
0.179816,0.005999,4114.0,India,IND,IND,20210208
0.300562,0.009206,2492.0,Indonesia,IDN,IDN,20210208
0.271335,0.016433,760.0,Iraq,IRQ,IRQ,20210208
0.199993,0.020181,395.0,Ireland,IRL,IRL,20210208
0.312767,0.023227,379.0,Israel,ISR,ISR,20210208
0.235177,0.006765,3925.0,Italy,ITA,ITA,20210208
0.2959,0.003669,15469.0,Japan,JPN,JPN,20210208
0.336086,0.023326,422.0,Jordan,JOR,JOR,20210208
0.159803,0.020188,334.0,Kazakhstan,KAZ,KAZ,20210208
0.177177,0.017743,469.0,Kenya,KEN,KEN,20210208
0.287383,0.041992,122.0,Kuwait,KWT,KWT,20210208
0.19921,0.034776,118.0,Kyrgyzstan,KGZ,KGZ,20210208
0.267961,0.024645,325.0,Lebanon,LBN,LBN,20210208
0.293463,0.027673,277.0,Libya,LBY,LBY,20210208
0.339459,0.013964,1149.0,Malaysia,MYS,MYS,20210208
0.269594,0.005109,7548.0,Mexico,MEX,MEX,20210208
0.198622,0.029657,184.0,Moldova,MDA,MDA,20210208
0.301276,0.02659,303.0,Morocco,MAR,MAR,20210208
0.245636,0.029887,209.0,Mozambique,MOZ,MOZ,20210208
0.24503,0.023665,339.0,Nepal,NPL,NPL,20210208
0.246909,0.011756,1350.0,Netherlands,NLD,NLD,20210208
0.264394,0.01623,734.0,New Zealand,NZL,NZL,20210208
0.301068,0.029476,244.0,Nicaragua,NIC,NIC,20210208
0.153475,0.01253,818.0,Nigeria,NGA,NGA,20210208
0.175011,0.013457,807.0,Norway,NOR,NOR,20210208
0.213286,0.016022,658.0,Pakistan,PAK,PAK,20210208
0.371334,0.038632,165.0,Palestine,PSE,PSE,20210208
0.242466,0.027495,240.0,Panama,PAN,PAN,20210208
0.296701,0.023562,375.0,Paraguay,PRY,PRY,20210208
0.347058,0.010713,1980.0,Peru,PER,PER,20210208
0.330552,0.009612,2394.0,Philippines,PHL,PHL,20210208
0.320884,0.011496,1645.0,Poland,POL,POL,20210208
0.20841,0.009584,1802.0,Portugal,PRT,PRT,20210208
0.319713,0.023384,406.0,"Puerto Rico, U.S.",PRI,PRI,20210208
0.216475,0.012072,1171.0,Romania,ROU,ROU,20210208
0.1818,0.007878,2393.0,Russia,RUS,RUS,20210208
