pct_hes_dontlike,hes_dontlike_se,pct_hes_dontlike_unw,hes_dontlike_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.083288,0.016376,0.076046,0.017071,263.0,New Zealand,NZL,NZL,20210207
0.055193,0.013116,0.052083,0.013479,288.0,Nigeria,NGA,NGA,20210207
0.063174,0.015661,0.074468,0.014513,282.0,Norway,NOR,NOR,20210207
0.040862,0.014098,0.05,0.012806,240.0,Pakistan,PAK,PAK,20210207
0.051578,0.013321,0.023256,0.019549,129.0,Paraguay,PRY,PRY,20210207
0.054282,0.008578,0.052083,0.008747,672.0,Peru,PER,PER,20210207
0.04689,0.007289,0.04472,0.007456,805.0,Philippines,PHL,PHL,20210207
0.081135,0.010857,0.07743,0.011092,607.0,Poland,POL,POL,20210207
0.062754,0.00905,0.055031,0.009624,636.0,Portugal,PRT,PRT,20210207
0.108628,0.028773,0.130435,0.026585,138.0,"Puerto Rico, U.S.",PRI,PRI,20210207
0.080419,0.013746,0.081013,0.0137,395.0,Romania,ROU,ROU,20210207
0.072351,0.009449,0.081243,0.00896,837.0,Russia,RUS,RUS,20210207
0.1046,0.027339,0.119718,0.025773,142.0,Saudi Arabia,SAU,SAU,20210207
0.08685,0.021409,0.095238,0.020539,189.0,Serbia,SRB,SRB,20210207
0.114494,0.020539,0.106195,0.021227,226.0,Slovakia,SVK,SVK,20210207
0.104286,0.01489,0.106729,0.014739,431.0,South Africa,ZAF,ZAF,20210207
0.039959,0.011275,0.038062,0.011541,289.0,South Korea,KOR,KOR,20210207
0.071195,0.007295,0.058196,0.008013,1031.0,Spain,ESP,ESP,20210207
0.093787,0.010581,0.086402,0.01098,706.0,Sweden,SWE,SWE,20210207
0.14844,0.019935,0.151235,0.019783,324.0,Switzerland,CHE,CHE,20210207
0.06468,0.006156,0.047178,0.007142,1187.0,Taiwan,TWN,TWN,20210207
0.034168,0.006156,0.030612,0.006492,784.0,Thailand,THA,THA,20210207
0.078662,0.019529,0.102881,0.017306,243.0,Tunisia,TUN,TUN,20210207
0.056675,0.007844,0.050891,0.008253,786.0,Turkey,TUR,TUR,20210207
0.06821,0.007717,0.060606,0.008154,957.0,Ukraine,UKR,UKR,20210207
0.111942,0.012799,0.106529,0.013081,582.0,United Kingdom,GBR,GBR,20210207
0.062084,0.014293,0.052846,0.015417,246.0,Uruguay,URY,URY,20210207
0.065697,0.012779,0.058824,0.013456,340.0,Venezuela,VEN,VEN,20210207
0.035492,0.004282,0.025279,0.005047,1345.0,Vietnam,VNM,VNM,20210207
0.154377,0.022575,0.130045,0.02425,223.0,Algeria,DZA,DZA,20210208
0.045448,0.005829,0.043372,0.005961,1222.0,Argentina,ARG,ARG,20210208
0.05082,0.009276,0.051237,0.00924,566.0,Australia,AUS,AUS,20210208
0.151331,0.020196,0.121673,0.02214,263.0,Austria,AUT,AUT,20210208
0.021315,0.014284,0.048458,0.009607,227.0,Bangladesh,BGD,BGD,20210208
0.068746,0.022667,0.078014,0.021384,141.0,Belarus,BLR,BLR,20210208
0.093333,0.016763,0.091216,0.016937,296.0,Belgium,BEL,BEL,20210208
0.088626,0.015144,0.07541,0.0163,305.0,Bolivia,BOL,BOL,20210208
0.054568,0.004198,0.050983,0.004335,2746.0,Brazil,BRA,BRA,20210208
0.130409,0.020198,0.135417,0.019878,288.0,Bulgaria,BGR,BGR,20210208
0.086348,0.009536,0.076825,0.010057,781.0,Canada,CAN,CAN,20210208
0.063133,0.010764,0.05531,0.011452,452.0,Chile,CHL,CHL,20210208
0.070711,0.007724,0.065366,0.008011,1025.0,Colombia,COL,COL,20210208
0.051708,0.022761,0.057143,0.021714,105.0,Costa Rica,CRI,CRI,20210208
0.085993,0.022809,0.082192,0.023282,146.0,Croatia,HRV,HRV,20210208
0.138256,0.016276,0.13544,0.016418,443.0,Czech Republic,CZE,CZE,20210208
0.066485,0.017661,0.068293,0.017442,205.0,Denmark,DNK,DNK,20210208
0.128296,0.02708,0.125828,0.027305,151.0,Dominican Republic,DOM,DOM,20210208
0.095474,0.012814,0.075294,0.014272,425.0,Ecuador,ECU,ECU,20210208
0.079204,0.011511,0.070565,0.012138,496.0,Egypt,EGY,EGY,20210208
0.071721,0.018649,0.069519,0.018919,187.0,El Salvador,SLV,SLV,20210208
0.089958,0.006087,0.089041,0.006115,2190.0,France,FRA,FRA,20210208
