,Country,Date,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
134,Austria,20200912,0.003248,0.003726,0.642813,0.626019,0.285266,0.014634,,,,,,,,,,,,0.986854,0.425809,0.461567,0.067015
135,Austria,20200913,0.003225,0.003568,0.645427,0.623467,0.29509,0.013589,,,,,,,,,,,,0.98626,0.434877,0.454395,0.063135
136,Austria,20200914,0.003058,0.003569,0.667369,0.612549,0.300079,0.012253,,,,,,,,,,,,0.983753,0.43161,0.457266,0.065523
137,Austria,20200915,0.004269,0.004746,0.683826,0.612912,0.302292,0.013862,,,,,,,,,,,,0.983252,0.435381,0.458222,0.070745
138,Austria,20200916,0.005702,0.005274,0.69198,0.614857,0.300051,0.014917,,,,,,,,,,,,0.983839,0.427563,0.462652,0.074476
139,Austria,20200917,0.00523,0.004719,0.706167,0.607725,0.299738,0.013183,,,,,,,,,,,,0.981372,0.427967,0.463561,0.073048
140,Austria,20200918,0.004543,0.004035,0.725769,0.608081,0.304775,0.011572,,,,,,,,,,,,0.981355,0.431391,0.4586,0.077771
141,Austria,20200919,0.005317,0.004353,0.74363,0.605364,0.307297,0.011482,,,,,,,,,,,,0.982211,0.422737,0.469542,0.086206
142,Austria,20200920,0.006314,0.005549,0.754789,0.605113,0.308431,0.012497,,,,,,,,,,,,0.979982,0.430673,0.464504,0.092792
143,Austria,20200921,0.007241,0.00645,0.759925,0.601841,0.312678,0.013888,,,,,,,,,,,,0.980757,0.426687,0.465586,0.101058
144,Austria,20200922,0.008492,0.007978,0.76672,0.592314,0.312648,0.014148,,,,,,,,,,,,0.982451,0.426815,0.45899,0.107557
145,Austria,20200923,0.00751,0.007694,0.774711,0.583118,0.312845,0.012804,,,,,,,,,,,,0.982305,0.425994,0.46221,0.109288
146,Austria,20200924,0.008317,0.008622,0.77746,0.588473,0.313614,0.013745,,,,,,,,,,,,0.984481,0.423102,0.466296,0.114693
147,Austria,20200925,0.008973,0.008809,0.786812,0.588204,0.306778,0.013544,,,,,,,,,,,,0.983794,0.414538,0.47959,0.116866
148,Austria,20200926,0.010477,0.010234,0.797415,0.581192,0.306725,0.013041,,,,,,,,,,,,0.98394,0.419076,0.470636,0.11545
149,Austria,20200927,0.014446,0.013964,0.80587,0.580144,0.306802,0.019105,,,,,,,,,,,,0.986965,0.413123,0.475457,0.118173
150,Austria,20200928,0.014697,0.013742,0.814445,0.581601,0.3059,0.020069,,,,,,,,,,,,0.988169,0.422804,0.471989,0.119488
151,Austria,20200929,0.012777,0.011429,0.815572,0.58339,0.3079,0.020302,,,,,,,,,,,,0.985171,0.415529,0.480885,0.121711
152,Austria,20200930,0.012292,0.011089,0.817545,0.591227,0.315832,0.021049,,,,,,,,,,,,0.98358,0.417831,0.47566,0.129482
153,Austria,20201001,0.014736,0.013315,0.82555,0.588523,0.317393,0.022384,,,,,,,,,,,,0.983491,0.420749,0.470739,0.130653
154,Austria,20201002,0.015853,0.014903,0.826164,0.590041,0.317454,0.025247,,,,,,,,,,,,0.984525,0.425332,0.458701,0.137213
155,Austria,20201003,0.017059,0.016411,0.819232,0.590393,0.323224,0.028168,,,,,,,,,,,,0.984776,0.428116,0.455426,0.135112
156,Austria,20201004,0.0133,0.012996,0.820465,0.583477,0.31609,0.02488,,,,,,,,,,,,0.984341,0.425345,0.455669,0.136687
157,Austria,20201005,0.011148,0.011437,0.823221,0.588348,0.31496,0.023533,,,,,,,,,,,,0.983678,0.418612,0.457726,0.137231
158,Austria,20201006,0.011268,0.011632,0.821148,0.594078,0.31154,0.021461,,,,,,,,,,,,0.985689,0.415425,0.463662,0.131901
159,Austria,20201007,0.010763,0.011021,0.816184,0.596354,0.3084,0.022119,,,,,,,,,,,,0.98781,0.410777,0.46599,0.124628
160,Austria,20201008,0.009502,0.010325,0.815678,0.588493,0.307531,0.024946,,,,,,,,,,,,0.98885,0.405014,0.465587,0.125468
161,Austria,20201009,0.009554,0.010394,0.81983,0.580919,0.313967,0.023406,,,,,,,,,,,,0.988824,0.404228,0.471599,0.122786
162,Austria,20201010,0.007971,0.008988,0.824146,0.590695,0.306236,0.021965,,,,,,,,,,,,0.988138,0.397904,0.47739,0.127737
163,Austria,20201011,0.007178,0.00805,0.823964,0.594177,0.30967,0.020348,,,,,,,,,,,,0.988846,0.397334,0.474276,0.126124
164,Austria,20201012,0.008342,0.00933,0.822034,0.590488,0.300781,0.0202,,,,,,,,,,,,0.990118,0.396813,0.474655,0.123562
165,Austria,20201013,0.007968,0.008961,0.828767,0.590814,0.303397,0.020255,,,,,,,,,,,,0.990051,0.400746,0.46562,0.128959
