,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
77,0.018609,0.019072,0.032133,0.713503,0.248618,0.029273,,,,,,,,,,,,0.998393,0.318805,0.60519,0.086321
78,0.020381,0.021027,0.033892,0.712051,0.248082,0.029882,,,,,,,,,,,,0.997761,0.322904,0.598639,0.084601
79,0.021631,0.022402,0.032646,0.715416,0.240822,0.030784,,,,,,,,,,,,0.997785,0.323625,0.595531,0.08273
80,0.020924,0.021925,0.031015,0.721342,0.237012,0.026612,,,,,,,,,,,,0.997797,0.329923,0.593017,0.081233
81,0.019596,0.02023,0.03098,0.723816,0.229694,0.025583,,,,,,,,,,,,0.997954,0.336396,0.586062,0.082049
82,0.019393,0.019953,0.031117,0.719262,0.22732,0.026246,,,,,,,,,,,,0.997795,0.343928,0.574247,0.077922
83,0.017877,0.018496,0.030697,0.72834,0.219795,0.025816,,,,,,,,,,,,0.997791,0.349255,0.566806,0.078932
84,0.01707,0.017706,0.029178,0.733203,0.213064,0.026353,,,,,,,,,,,,0.997891,0.348498,0.57191,0.082009
85,0.016469,0.017358,0.028679,0.734729,0.211022,0.026117,,,,,,,,,,,,0.999112,0.350335,0.573739,0.080747
86,0.013799,0.015023,0.031767,0.739063,0.218153,0.025204,,,,,,,,,,,,0.998819,0.351338,0.572809,0.077858
87,0.011761,0.01298,0.029667,0.731217,0.224607,0.025697,,,,,,,,,,,,0.998877,0.344147,0.576155,0.080268
88,0.011941,0.013157,0.029864,0.727679,0.228971,0.027141,,,,,,,,,,,,0.99823,0.340386,0.579833,0.080256
89,0.011604,0.012657,0.032257,0.729136,0.236811,0.02508,,,,,,,,,,,,0.998635,0.333657,0.589594,0.080988
90,0.012118,0.012961,0.034229,0.733283,0.231032,0.025116,,,,,,,,,,,,0.997863,0.31922,0.602519,0.081598
91,0.014862,0.015344,0.033306,0.731162,0.224335,0.022689,,,,,,,,,,,,0.997469,0.328764,0.591887,0.07798
92,0.014731,0.015647,0.032017,0.733962,0.227474,0.025206,,,,,,,,,,,,0.997462,0.330214,0.587056,0.077956
93,0.015839,0.016568,0.033402,0.730247,0.22487,0.026344,,,,,,,,,,,,0.997255,0.337006,0.580653,0.080135
94,0.017668,0.018603,0.039537,0.733965,0.221076,0.028171,,,,,,,,,,,,0.997265,0.337423,0.58172,0.080084
95,0.016491,0.017435,0.038388,0.733612,0.219389,0.027321,,,,,,,,,,,,0.997268,0.343899,0.575137,0.077307
96,0.017604,0.018529,0.034288,0.736002,0.220843,0.028023,,,,,,,,,,,,0.996582,0.351745,0.564272,0.07867
97,0.016467,0.017379,0.031957,0.733294,0.224376,0.028505,,,,,,,,,,,,0.996993,0.357343,0.559521,0.080414
98,0.017073,0.018264,0.033602,0.738883,0.233624,0.030807,,,,,,,,,,,,0.996757,0.349165,0.565005,0.083888
99,0.016078,0.017254,0.035335,0.735323,0.23369,0.028429,,,,,,,,,,,,0.996264,0.348983,0.567938,0.085118
100,0.015918,0.016895,0.032631,0.732813,0.236575,0.029596,,,,,,,,,,,,0.995365,0.343198,0.575765,0.08513
101,0.014848,0.016509,0.027138,0.732229,0.237189,0.028105,,,,,,,,,,,,0.994942,0.339368,0.577929,0.085996
102,0.016806,0.018558,0.027399,0.726983,0.256028,0.028443,,,,,,,,,,,,0.995077,0.347799,0.568229,0.08952
103,0.015552,0.017479,0.036199,0.693305,0.26242,0.029397,,,,,,,,,,,,0.996206,0.340074,0.578935,0.094545
104,0.015157,0.01649,0.052679,0.656803,0.281571,0.028231,,,,,,,,,,,,0.996638,0.33806,0.585402,0.095953
