,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
90,0.001157,0.001547,0.885559,0.577288,0.360361,0.007221,,,,,,,,,,,,0.998123,0.361107,0.574873,0.023665
91,0.001505,0.001966,0.886563,0.575325,0.358824,0.007117,,,,,,,,,,,,0.998192,0.363031,0.574071,0.023883
92,0.001735,0.002143,0.888931,0.575295,0.356073,0.007426,,,,,,,,,,,,0.997843,0.361795,0.575694,0.024706
93,0.001843,0.002218,0.889396,0.571207,0.358258,0.007214,,,,,,,,,,,,0.997744,0.359508,0.577302,0.025323
94,0.001668,0.002023,0.891492,0.571676,0.359393,0.007184,,,,,,,,,,,,0.997367,0.359748,0.577931,0.025368
95,0.00153,0.001883,0.893482,0.571601,0.363007,0.007469,,,,,,,,,,,,0.997642,0.359127,0.575969,0.025617
96,0.001413,0.001743,0.894847,0.570371,0.36006,0.008208,,,,,,,,,,,,0.997819,0.360895,0.576654,0.025374
97,0.001468,0.0021,0.896414,0.567456,0.360623,0.008409,,,,,,,,,,,,0.99778,0.361294,0.57369,0.025262
98,0.001529,0.002136,0.896603,0.570834,0.359465,0.008484,,,,,,,,,,,,0.997379,0.361549,0.573279,0.02557
99,0.001287,0.001928,0.896319,0.570519,0.358324,0.007929,,,,,,,,,,,,0.997747,0.361448,0.573797,0.026348
100,0.00182,0.001895,0.893983,0.569033,0.358479,0.00878,,,,,,,,,,,,0.997729,0.365631,0.569397,0.027404
101,0.001927,0.002007,0.892299,0.568242,0.357893,0.00884,,,,,,,,,,,,0.998039,0.366301,0.568604,0.028747
102,0.001955,0.002077,0.891783,0.567902,0.359217,0.009386,,,,,,,,,,,,0.997842,0.367831,0.568695,0.029859
103,0.00208,0.002211,0.890375,0.566099,0.358918,0.009498,,,,,,,,,,,,0.997763,0.368381,0.567977,0.030499
104,0.001994,0.001892,0.886584,0.563452,0.359726,0.009781,,,,,,,,,,,,0.997509,0.371874,0.564644,0.031901
105,0.001835,0.001779,0.885926,0.560288,0.361615,0.009004,,,,,,,,,,,,0.997886,0.374533,0.561814,0.033114
